# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 48960.000000000015
  1 0.005 480 0
  2 0.015 501.079 8.94731
  3 0.025 482.921 1098.79
  4 0.035 480.207 1098.92
  5 0.045 503.546 1098.69
  6 0.055 480.251 1097.26
  7 0.065 491.623 1081.36
  8 0.075 492.368 1077.11
  9 0.085 480.891 1073.52
  10 0.095 501.37 1071.53
  11 0.105 481.755 1067.96
  12 0.115 490.271 1065.66
  13 0.125 493.591 1064.35
  14 0.135 481.497 1061.79
  15 0.145 499.438 1059.96
  16 0.155 483.245 1057.96
  17 0.165 489.638 1055.67
  18 0.175 493.943 1054.03
  19 0.185 482.054 1052.58
  20 0.195 497.966 1050.17
  21 0.205 484.434 1048.34
  22 0.215 489.334 1045.84
  23 0.225 493.905 1044.34
  24 0.235 482.754 1043.02
  25 0.245 496.954 1041.98
  26 0.255 485.032 1039.32
  27 0.265 489.21 1037.36
  28 0.275 493.825 1034.97
  29 0.285 483.126 1033.16
  30 0.295 496.34 1032.11
  31 0.305 485.519 1029.21
  32 0.315 489.221 1027.74
  33 0.325 493.585 1026.08
  34 0.335 483.537 1024.57
  35 0.345 495.786 1022.95
  36 0.355 485.94 1021.49
  37 0.365 489.055 1018.97
  38 0.375 493.532 1017.68
  39 0.385 483.739 1015.67
  40 0.395 495.746 1012.97
  41 0.405 485.955 1011.62
  42 0.415 488.951 1010.31
  43 0.425 493.577 1008.08
  44 0.435 483.926 1006.4
  45 0.445 495.759 1004.95
  46 0.455 485.871 1002.97
  47 0.465 489.191 1001.04
  48 0.475 493.363 998.555
  49 0.485 483.93 997.888
  50 0.495 495.822 996.352
  51 0.505 485.734 994.279
  52 0.515 489.413 992.735
  53 0.525 493.225 991.206
  54 0.535 483.843 989.837
  55 0.545 496.106 988.663
  56 0.555 485.459 986.127
  57 0.565 490.011 983.963
  58 0.575 492.752 982.238
  59 0.585 483.909 980.865
  60 0.595 496.382 978.629
  61 0.605 484.994 977.022
  62 0.615 490.692 975.491
  63 0.625 492.17 974.093
  64 0.635 483.938 972.436
  65 0.645 496.742 970.954
  66 0.655 484.458 969.051
  67 0.665 491.296 966.603
  68 0.675 491.721 965.405
  69 0.685 484.123 963.191
  70 0.695 497.059 960.503
  71 0.705 483.834 959.221
  72 0.715 492.299 957.849
  73 0.725 490.904 956.523
  74 0.735 484.24 954.576
  75 0.745 497.497 952.503
  76 0.755 483.021 952.053
  77 0.765 493.652 950.059
  78 0.775 489.772 947.63
  79 0.785 484.531 946.343
  80 0.795 497.99 944.024
  81 0.805 482.02 941.875
  82 0.815 495.345 940.479
  83 0.825 488.256 938.764
  84 0.835 484.802 936.588
  85 0.845 498.42 934.819
  86 0.855 481.084 933.141
  87 0.865 497.468 931.641
  88 0.875 486.266 929.384
  89 0.885 485.061 927.603
  90 0.895 498.726 925.901
  91 0.905 480.322 924.877
  92 0.915 500.443 922.213
  93 0.925 483.45 919.649
  94 0.935 485.269 916.548
  95 0.945 498.728 901.005
  96 0.955 480.01 899.308
  97 0.965 503.355 899.169
  98 0.975 480.638 899.349
  99 0.985 484 0
  100 0.995 500 0
