# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9708
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 94 399.248
  4 0.035 96 399.13
  5 0.045 95.0702 398.449
  6 0.055 97.6361 395.254
  7 0.065 107.793 384.804
  8 0.075 103.22 381.809
  9 0.085 96.2801 381.354
  10 0.095 96.0009 381.007
  11 0.105 96 380.256
  12 0.115 94 377.808
  13 0.125 95 373.925
  14 0.135 95.0003 370.858
  15 0.145 95.0037 368.908
  16 0.155 96.0256 367.839
  17 0.165 96.1102 366.091
  18 0.175 95.3108 363.715
  19 0.185 95.0909 360.003
  20 0.195 105.265 353.933
  21 0.205 100.459 351.137
  22 0.215 97.4253 349.122
  23 0.225 95.2883 346.929
  24 0.235 96.0204 345.972
  25 0.245 93.9649 344.053
  26 0.255 94.0352 338.257
  27 0.265 96 336.058
  28 0.275 94.0002 334.174
  29 0.285 95.0137 331.348
  30 0.295 95.2281 329.207
  31 0.305 97.3514 326.627
  32 0.315 102.176 324.478
  33 0.325 105.451 323.172
  34 0.335 97.8784 322.215
  35 0.345 96.8375 320.54
  36 0.355 95.0619 317.898
  37 0.365 95.0011 315.068
  38 0.375 96 314.16
  39 0.385 95 314.528
  40 0.395 95 313.147
  41 0.405 96.0046 310.724
  42 0.415 96.1797 310.197
  43 0.425 94.0108 307.836
  44 0.435 103.502 305.619
  45 0.445 103.323 302.616
  46 0.455 98.0596 299.671
  47 0.465 97.8595 296.854
  48 0.475 93.7049 294.841
  49 0.485 96.3552 293.175
  50 0.495 94.9997 291.692
  51 0.505 94.0038 288.329
  52 0.515 93.9964 283.801
  53 0.525 95.0001 281.659
  54 0.535 95.0023 279.539
  55 0.545 95.0903 276.173
  56 0.555 97.585 275.155
  57 0.565 100.688 273.792
  58 0.575 104.758 269.889
  59 0.585 100.041 268.487
  60 0.595 96.7607 266.967
  61 0.605 96.0731 266.306
  62 0.615 94.9994 265.339
  63 0.625 96.0015 264.471
  64 0.635 96 263.956
  65 0.645 96.006 263.835
  66 0.655 94.9978 262.624
  67 0.665 96.2095 261.861
  68 0.675 98.9798 261.41
  69 0.685 103.209 260.734
  70 0.695 103.591 258.877
  71 0.705 98.5115 257.428
  72 0.715 96.469 255.804
  73 0.725 93.9879 253.794
  74 0.735 96.0383 252.244
  75 0.745 96 252.118
  76 0.755 96 251.999
  77 0.765 95 251.266
  78 0.775 94.0004 248.244
  79 0.785 94.0044 244.242
  80 0.795 95.3162 239.962
  81 0.805 102.481 238.779
  82 0.815 104.828 236.019
  83 0.825 96.5011 232.296
  84 0.835 97.7238 227.076
  85 0.845 96.1449 225.561
  86 0.855 96.0004 225.253
  87 0.865 94.9999 224.214
  88 0.875 95.0001 221.8
  89 0.885 95 219.833
  90 0.895 95 217.817
  91 0.905 96 216.436
  92 0.915 96.0001 215.893
  93 0.925 97.2756 215.376
  94 0.935 105.641 213.547
  95 0.945 108.023 205.12
  96 0.955 95.0605 201.336
  97 0.965 96 200.509
  98 0.975 96 200.179
  99 0.985 96 0
  100 0.995 96 0
