Time  E1  E2
0  -0  -0
2000  -6.85530661486696  9.23824528974142
4000  -14.2098317347274  17.0793039920886
6000  -23.0831414504896  24.1288595342418
8000  -30.8598376691688  33.1308226602793
10000  -40.3072326203011  41.2934866355816
12000  -51.2963329464692  51.5132401963567
14000  -60.0869607510621  60.7701466459191
16000  -68.5564500696219  69.062291276836
18000  -79.4621961570867  76.2648215350108
20000  -88.1195481037712  86.2807287482829
22000  -94.3810147996368  94.3978152735251
24000  -101.834336468326  103.749581829732
26000  -112.793915075293  110.902893955036
28000  -119.214614201137  117.954049505717
30000  -125.701612808771  126.259209824958
32000  -133.398150930157  133.614726849896
34000  -139.937654993567  142.621302544658
36000  -148.862170922418  150.835040562482
38000  -158.661357842315  160.995486969913
40000  -167.251075345322  169.89218226169
42000  -175.903636819084  177.046714537652
44000  -186.987724328014  186.429474351451
46000  -196.863567933601  195.74459981631
48000  -205.005075675292  204.626947020561
50000  -213.550477618017  211.981500338831
52000  -222.198382709152  220.589836101473
54000  -231.662217667854  230.13903696566
56000  -241.095564941973  238.589286023016
58000  -248.083403324389  247.277711873141
60000  -257.244014060627  255.465290832034
62000  -263.215424826433  264.395829366635
64000  -273.156416487677  272.964068257597
66000  -279.808278437632  281.692478490775
68000  -286.584107755374  289.970769076892
70000  -295.410286630449  298.893710875046
72000  -306.466816226778  306.497439313608
74000  -312.575289684324  314.646788362088
76000  -319.955302721658  322.534971320774
78000  -329.002984315161  332.341338275229
80000  -336.184637406332  339.839398288797
82000  -345.022335289098  348.156516995866
84000  -353.482605054273  358.153025399529
86000  -364.340974838574  366.1529713032
88000  -371.211129192207  373.391872106472
90000  -380.053533820618  382.276725260388
92000  -387.85154887308  390.211336460118
94000  -399.637198702865  398.663037499937
96000  -408.408159263966  407.757991978959
98000  -415.805084004363  416.119982201839
100000  -425.015533473574  424.912873969343
102000  -431.74063270493  433.884509928512
104000  -437.63125244168  441.51024489011
106000  -444.801883683934  449.49059784073
108000  -453.090311285591  455.954521514139
110000  -462.267240797479  464.109615960275
112000  -468.77276930709  471.36765855746
114000  -479.410583268927  479.435820436243
116000  -488.589389474486  488.417206762034
118000  -497.218136277398  496.522701442151
120000  -504.742996588105  504.575436071463
122000  -512.144987157068  513.995988248349
124000  -520.853794352518  522.562516077968
126000  -529.969892622695  531.374914720758
128000  -539.660794648676  541.07974902161
130000  -546.208172907486  548.676481992036
132000  -553.793747498252  555.661936193963
134000  -562.105652795773  564.457732436953
136000  -570.161894879591  573.514448338
138000  -579.425213919789  581.221519718954
