# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9755
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 95 399.461
  4 0.035 96 398.898
  5 0.045 95.0587 397.307
  6 0.055 96.8495 391.673
  7 0.065 111.573 374.135
  8 0.075 101.423 370.851
  9 0.085 96.0959 369.94
  10 0.095 96.0001 369.587
  11 0.105 96 368.609
  12 0.115 94 364.827
  13 0.125 96 359.786
  14 0.135 95 356.318
  15 0.145 95 352.816
  16 0.155 96 350.282
  17 0.165 95.0028 347.752
  18 0.175 96.3553 346.281
  19 0.185 102.148 345.288
  20 0.195 108.843 342.533
  21 0.205 98.3772 339.459
  22 0.215 96.2723 338.35
  23 0.225 96.0015 338.086
  24 0.235 96 337.903
  25 0.245 96 337.13
  26 0.255 95 335.156
  27 0.265 96 333.788
  28 0.275 96 333.46
  29 0.285 96.0034 333.289
  30 0.295 95.135 332.313
  31 0.305 99.1048 329.563
  32 0.315 108.469 328.923
  33 0.325 103.574 328.545
  34 0.335 96.6989 328.214
  35 0.345 95.0139 326.96
  36 0.355 96.0004 324.214
  37 0.365 96 323.774
  38 0.375 96 323.077
  39 0.385 95 321.529
  40 0.395 96 319.348
  41 0.405 96.0012 319.014
  42 0.415 96.0368 318.134
  43 0.425 96.2122 315.625
  44 0.435 105.637 313.813
  45 0.445 103.306 309.256
  46 0.455 99.6316 306.299
  47 0.465 96.1742 305.475
  48 0.475 96.0011 305.278
  49 0.485 96 304.702
  50 0.495 95 302.827
  51 0.505 93.9995 297.866
  52 0.515 95.0005 291.308
  53 0.525 95 288.033
  54 0.535 96.0007 285.419
  55 0.545 96.0963 284.856
  56 0.555 98.4851 284.21
  57 0.565 103.906 281.799
  58 0.575 105.541 277.215
  59 0.585 96.9161 275.409
  60 0.595 96.0546 272.662
  61 0.605 96.0003 272.058
  62 0.615 96 271.936
  63 0.625 96 271.504
  64 0.635 96 271.104
  65 0.645 96.009 270.502
  66 0.655 94.9913 268.582
  67 0.665 96.0185 267.168
  68 0.675 96.8366 266.529
  69 0.685 103.3 264.837
  70 0.695 106.657 261.619
  71 0.705 98.0797 259.498
  72 0.715 96.1064 256.822
  73 0.725 95.0007 253.991
  74 0.735 96 252.948
  75 0.745 96 252.682
  76 0.755 96 252.285
  77 0.765 96 251.842
  78 0.775 95 250.914
  79 0.785 96.0002 248.103
  80 0.795 96.0633 247.359
  81 0.805 100.492 246.85
  82 0.815 108.189 244.125
  83 0.825 99.9387 241.22
  84 0.835 97.3163 238.712
  85 0.845 96.0006 238.371
  86 0.855 96 237.942
  87 0.865 95 236.295
  88 0.875 95 231.553
  89 0.885 96 229.224
  90 0.895 95 227.576
  91 0.905 96 225.158
  92 0.915 96 224.246
  93 0.925 96.1221 223.638
  94 0.935 108.232 222.389
  95 0.945 107.615 208.962
  96 0.955 96.0312 202.331
  97 0.965 96 200.821
  98 0.975 96 200.434
  99 0.985 96 0
  100 0.995 96 0
