# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9791.999999999998
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 96 398.249
  4 0.035 96 397.125
  5 0.045 96.0296 393.342
  6 0.055 101.132 378.252
  7 0.065 112.956 339.422
  8 0.075 97.8768 332.932
  9 0.085 96.0059 331.178
  10 0.095 96 330.153
  11 0.105 96 329.117
  12 0.115 96 328.126
  13 0.125 96 326.827
  14 0.135 96 326.28
  15 0.145 96 325.334
  16 0.155 96 324.505
  17 0.165 96.0096 323.429
  18 0.175 97.1369 322.546
  19 0.185 107.839 321.456
  20 0.195 106.245 320.54
  21 0.205 96.7641 319.486
  22 0.215 96.0052 318.651
  23 0.225 96 318.085
  24 0.235 96 317.389
  25 0.245 96 316.698
  26 0.255 96 315.908
  27 0.265 96 314.895
  28 0.275 96 314.159
  29 0.285 96.0008 313.527
  30 0.295 96.185 312.744
  31 0.305 100.913 311.901
  32 0.315 110.247 311.211
  33 0.325 100.505 310.441
  34 0.335 96.1485 309.892
  35 0.345 96.0007 309.151
  36 0.355 96 308.372
  37 0.365 96 307.691
  38 0.375 96 307.117
  39 0.385 96 306.263
  40 0.395 96 305.658
  41 0.405 96 304.8
  42 0.415 96.0165 303.884
  43 0.425 97.146 303.374
  44 0.435 106.688 302.804
  45 0.445 106.895 302.031
  46 0.455 97.2408 300.913
  47 0.465 96.013 300.227
  48 0.475 96 299.511
  49 0.485 96 299.076
  50 0.495 96 298.406
  51 0.505 96 297.669
  52 0.515 96 297.108
  53 0.525 96 296.329
  54 0.535 96.0006 295.542
  55 0.545 96.1662 295.037
  56 0.555 100.513 294.117
  57 0.565 110.145 293.589
  58 0.575 101.017 292.924
  59 0.585 96.1573 292.395
  60 0.595 96.0014 291.734
  61 0.605 96 290.977
  62 0.615 96 290.146
  63 0.625 96 289.591
  64 0.635 96 289.029
  65 0.645 96 288.314
  66 0.655 96 287.425
  67 0.665 96.013 286.901
  68 0.675 97.1756 286.274
  69 0.685 106.849 285.506
  70 0.695 106.93 284.608
  71 0.705 97.0233 283.898
  72 0.715 96.0098 283.197
  73 0.725 96 282.688
  74 0.735 96 281.792
  75 0.745 96 281.165
  76 0.755 96 280.507
  77 0.765 96 279.811
  78 0.775 96 278.879
  79 0.785 96.0002 278.208
  80 0.795 96.1253 277.553
  81 0.805 101.145 276.591
  82 0.815 111.34 275.884
  83 0.825 99.3477 275.039
  84 0.835 96.0422 274.229
  85 0.845 96 273.183
  86 0.855 96 272.28
  87 0.865 96 271.471
  88 0.875 96 270.477
  89 0.885 96 269.948
  90 0.895 96 268.991
  91 0.905 96 268.006
  92 0.915 96.0002 267.102
  93 0.925 96.4944 265.766
  94 0.935 111.588 261.833
  95 0.945 103.907 224.535
  96 0.955 96.0098 206.56
  97 0.965 96 202.429
  98 0.975 96 201.32
  99 0.985 96 0
  100 0.995 96 0
