Time  E1  E2
0  -0  -0
2000  -19.116354900951  9.96170895201202
4000  -27.8012739149255  22.344679920835
6000  -32.0840522350165  31.5889671872243
8000  -48.6962501910794  51.8193792759905
10000  -54.8260117009723  67.9991359919463
12000  -72.0913008819506  78.9135075395481
14000  -87.4135598689208  90.1060427025561
16000  -96.3462275136704  97.6791447109452
18000  -114.313502698697  111.88930917409
20000  -133.862381755504  128.415844787048
22000  -149.885938668437  143.856835833357
24000  -172.002155714693  161.400381261935
26000  -174.431541800373  169.719842769647
28000  -192.449159435557  187.005557903049
30000  -199.851951878239  207.657163391517
32000  -208.294957847557  215.304785530745
34000  -226.567496509973  230.463713374376
36000  -234.834261244119  243.488277328924
38000  -243.056261438327  258.978878680772
40000  -254.788668148408  270.314667810272
42000  -272.932110178332  285.498574752936
44000  -293.746660247766  294.83727992443
46000  -314.033562517907  304.630545517262
48000  -330.518862744625  315.294130112264
50000  -345.915786876185  332.279281902056
52000  -355.538739754841  337.037918646727
54000  -365.407259893293  358.145509966449
56000  -375.707665589567  366.384951110874
58000  -389.575197376197  384.241258766761
60000  -404.828684314393  400.195158902877
62000  -420.305818697813  407.583403833956
64000  -437.94764024188  426.177176398493
66000  -455.10665823087  440.759953168146
68000  -469.358825240406  462.33069212314
70000  -494.376534134874  477.685200474623
72000  -515.378742919909  497.316689350711
74000  -521.105970641474  506.093778614949
76000  -528.556660490877  523.056659875102
78000  -545.461315245924  533.580840661416
80000  -552.566552212365  544.956461613419
82000  -566.105104935077  559.471889475092
84000  -579.325704127794  572.047910787659
86000  -586.130973095115  592.937698562136
88000  -603.726801120172  603.577883732632
90000  -607.052595015124  627.280015058966
92000  -622.402156902577  640.978196639992
94000  -637.019068266147  653.372129140438
96000  -653.899293332957  664.975087696849
98000  -659.934979828004  684.325061324319
100000  -670.583010241901  689.987141847346
102000  -685.783501031671  703.843864234493
104000  -698.608533252578  706.191048613221
106000  -714.083094758411  709.618990123566
108000  -732.20880224094  719.953616892452
110000  -741.375811947111  734.24835109892
112000  -751.09443118247  760.38638741181
114000  -767.060128073543  774.089482488688
116000  -779.442888625727  784.382786499326
118000  -793.426079177848  793.719542345485
120000  -801.526331097902  805.941268059073
122000  -814.974295707732  816.866388375419
124000  -830.915329845662  831.195492737754
126000  -838.50572608614  838.498503210276
128000  -852.315415980256  848.388857385048
130000  -859.983614093982  862.845004547102
132000  -882.483634360693  867.47617855003
134000  -890.454748167616  884.226748763623
136000  -908.497376551622  894.275745025398
138000  -915.609651799101  908.559717129952
140000  -928.511240150706  915.751117311615
142000  -943.56841190613  936.991581586363
144000  -956.986977787649  959.166088962189
146000  -968.112449559951  968.172525504753
148000  -980.481689663855  986.864014498927
150000  -997.276224725401  999.338976141551
152000  -1014.0237126486  1013.80034428459
154000  -1031.61226542556  1028.79526369685
156000  -1037.54822465282  1037.02611256698
158000  -1053.07774993715  1047.34999505002
160000  -1064.97941194133  1071.7256845508
162000  -1073.96500958569  1075.24986312015
164000  -1086.72456541323  1091.12256348281
166000  -1107.19081294365  1102.92865325174
168000  -1125.45985702012  1112.85185654008
170000  -1140.41591821767  1123.79086573528
172000  -1153.51955233122  1148.16547429489
174000  -1171.19834748843  1155.7911215001
176000  -1180.27631206506  1178.64438710552
178000  -1188.25943820994  1187.71001676058
180000  -1200.39050370064  1199.83848682405
182000  -1214.30964272026  1220.1812603461
184000  -1215.39477280647  1236.27991487052
186000  -1215.69069897819  1251.24654631495
188000  -1232.3753691903  1260.15145342558
190000  -1255.93508507142  1264.14545211706
192000  -1274.99721066651  1279.62844864796
194000  -1279.15661336144  1292.31403287213
196000  -1296.00500000649  1306.83124421545
198000  -1313.18757344684  1325.6024219914
200000  -1321.46412338865  1341.26634213186
202000  -1331.33372022692  1349.32825551474
204000  -1355.01236398463  1369.71162747625
206000  -1366.57623708255  1389.02205065473
208000  -1386.00085350831  1399.53606810468
210000  -1411.02660143604  1419.77530281403
212000  -1421.30786541423  1422.09416360847
214000  -1437.94882786561  1437.50208177602
216000  -1451.58241116567  1451.97659825738
218000  -1468.21601065845  1465.36245295743
220000  -1485.98447363041  1484.74130102337
222000  -1491.14399766626  1494.31450762052
224000  -1509.7848393918  1514.20119825116
226000  -1511.63550075098  1530.43157978711
228000  -1529.34065560432  1545.99315756459
