# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 5903.999999999999
  1 0.005 57 0
  2 0.015 63 0
  3 0.025 50.1 1094.5
  4 0.035 69.9 1093.11
  5 0.045 48.079 1089.78
  6 0.055 71.9203 1078.05
  7 0.065 48.0017 1052.68
  8 0.075 71.9406 1047.52
  9 0.085 48.0585 1044.85
  10 0.095 70.6864 1042.81
  11 0.105 49.3136 1041.02
  12 0.115 63.5381 1040.46
  13 0.125 56.4619 1040.04
  14 0.135 53.1297 1039.13
  15 0.145 66.8703 1038.08
  16 0.155 48.6867 1036.87
  17 0.165 71.3133 1034.35
  18 0.175 48.0387 1033.8
  19 0.185 71.9506 1032.1
  20 0.195 48.012 1030.24
  21 0.205 71.6366 1029.28
  22 0.215 48.3622 1028.66
  23 0.225 68.5528 1026.45
  24 0.235 51.4472 1025.47
  25 0.245 60.0885 1023.87
  26 0.255 59.9115 1022.93
  27 0.265 51.7547 1023.38
  28 0.275 68.2453 1022
  29 0.285 48.5574 1021.06
  30 0.295 71.4397 1019.24
  31 0.305 48.046 1018.21
  32 0.315 71.8725 1017.15
  33 0.325 48.0866 1016.7
  34 0.335 70.9392 1014.31
  35 0.345 49.0587 1013.43
  36 0.355 66.342 1012.55
  37 0.365 53.658 1010.73
  38 0.375 57.6168 1009.93
  39 0.385 62.3832 1009.75
  40 0.395 50.7248 1007.92
  41 0.405 69.275 1007.12
  42 0.415 48.3862 1006.45
  43 0.425 71.603 1005.69
  44 0.435 48.0405 1004.95
  45 0.445 71.7647 1003.68
  46 0.455 48.2069 1003.11
  47 0.465 70.1303 1001.5
  48 0.475 49.8685 1001
  49 0.485 64.2823 1000.31
  50 0.495 55.7177 998.905
  51 0.505 55.5262 999.044
  52 0.515 64.4738 998.355
  53 0.525 49.7886 998.054
  54 0.535 70.2106 996.807
  55 0.545 48.2013 993.928
  56 0.555 71.7751 993.604
  57 0.565 48.0333 993.046
  58 0.575 71.6111 992.256
  59 0.585 48.3802 990.65
  60 0.595 69.2467 989.423
  61 0.605 50.7532 988.634
  62 0.615 62.3551 987.577
  63 0.625 57.6449 985.909
  64 0.635 53.6374 984.63
  65 0.645 66.3626 984.1
  66 0.655 49.037 982.83
  67 0.665 70.9613 981.92
  68 0.675 48.0802 979.902
  69 0.685 71.8833 979.325
  70 0.695 48.0402 979.37
  71 0.705 71.4992 978.298
  72 0.715 48.499 976.839
  73 0.725 68.6103 975.802
  74 0.735 51.3897 974.229
  75 0.745 60.6691 972.901
  76 0.755 59.3309 972.023
  77 0.765 51.8804 970.719
  78 0.775 68.1196 969.809
  79 0.785 48.4321 968.498
  80 0.795 71.5669 968.115
  81 0.805 48.0144 967.575
  82 0.815 71.9629 966.466
  83 0.825 48.0237 965.312
  84 0.835 71.5818 963.093
  85 0.845 48.4181 961.932
  86 0.855 68.3434 961.033
  87 0.865 51.6566 959.874
  88 0.875 58.6279 957.763
  89 0.885 61.3721 957.312
  90 0.895 49.9344 956.559
  91 0.905 70.0656 955.078
  92 0.915 48.0805 952.921
  93 0.925 71.9195 950.004
  94 0.935 48.0007 945.677
  95 0.945 71.9933 920.042
  96 0.955 48.006 908.332
  97 0.965 71.4606 903.839
  98 0.975 48.5394 903.537
  99 0.985 62 0
  100 0.995 58 0
