# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9726.999999999998
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 95 399.421
  4 0.035 96 399.09
  5 0.045 95.1195 398.148
  6 0.055 98.1975 394.029
  7 0.065 108.467 381.444
  8 0.075 102.013 377.999
  9 0.085 96.2021 377.596
  10 0.095 96.0006 377.008
  11 0.105 96 376.093
  12 0.115 94 373.827
  13 0.125 95 369.664
  14 0.135 95.0013 365.103
  15 0.145 94.9987 362.442
  16 0.155 96.0133 361.229
  17 0.165 97.1976 360.981
  18 0.175 95.8117 358.408
  19 0.185 99.3397 354.871
  20 0.195 105.9 349.919
  21 0.205 98.9997 347.074
  22 0.215 95.7098 344.793
  23 0.225 95.0274 342.578
  24 0.235 96.0007 341.151
  25 0.245 93.9968 338.334
  26 0.255 94.0032 331.795
  27 0.265 96 328.996
  28 0.275 94.0001 327.076
  29 0.285 95.0031 323.387
  30 0.295 95.1144 320.575
  31 0.305 96.6148 318.253
  32 0.315 101.953 315.533
  33 0.325 107.079 313.85
  34 0.335 97.8402 312.585
  35 0.345 96.3753 310.617
  36 0.355 96.0196 308.607
  37 0.365 95.0003 306.878
  38 0.375 96 305.826
  39 0.385 95 306.07
  40 0.395 95 304.879
  41 0.405 96 302.148
  42 0.415 96.006 301.282
  43 0.425 95.3853 299.803
  44 0.435 101.528 298.503
  45 0.445 103.236 295.36
  46 0.455 101.465 292.671
  47 0.465 98.3303 290.985
  48 0.475 94.6193 289.841
  49 0.485 96.43 287.957
  50 0.495 94.999 286.474
  51 0.505 93.9961 282.914
  52 0.515 95.0049 278.276
  53 0.525 95 276.424
  54 0.535 96.0014 274.665
  55 0.545 96.1025 273.951
  56 0.555 97.5589 273.759
  57 0.565 100.037 271.84
  58 0.575 105.389 266.929
  59 0.585 100.278 265.603
  60 0.595 96.6027 263.837
  61 0.605 96.0308 263.426
  62 0.615 94.9933 262.459
  63 0.625 96.0067 260.979
  64 0.635 96 260.737
  65 0.645 96.0163 260.149
  66 0.655 94.9837 258.807
  67 0.665 96.0166 257.769
  68 0.675 96.8518 257.405
  69 0.685 101.802 256.292
  70 0.695 105.219 254.192
  71 0.705 100.334 252.549
  72 0.715 96.7332 250.699
  73 0.725 93.7892 248.294
  74 0.735 96.2542 246.688
  75 0.745 96 246.454
  76 0.755 96 246.374
  77 0.765 96 245.963
  78 0.775 95 245.113
  79 0.785 95.003 242.215
  80 0.795 95.2116 238.565
  81 0.805 100.963 237.011
  82 0.815 103.661 234.187
  83 0.825 102.636 230.597
  84 0.835 96.4595 227.935
  85 0.845 96.0655 226.609
  86 0.855 96.0002 225.999
  87 0.865 94.9986 225.146
  88 0.875 95.0014 221.818
  89 0.885 96 220.112
  90 0.895 95 218.666
  91 0.905 96 217.024
  92 0.915 96.0009 216.323
  93 0.925 96.3552 216.029
  94 0.935 108.669 215.167
  95 0.945 106.893 206.1
  96 0.955 95.0817 201.448
  97 0.965 96 200.595
  98 0.975 96 200.15
  99 0.985 96 0
  100 0.995 96 0
