# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9744.999999999995
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 95 399.403
  4 0.035 96 399.014
  5 0.045 95.0812 397.676
  6 0.055 97.4441 392.465
  7 0.065 111.145 377.671
  8 0.075 101.208 374.807
  9 0.085 96.1213 374.6
  10 0.095 96.0002 374.379
  11 0.105 96 373.068
  12 0.115 94 369.331
  13 0.125 96 365.164
  14 0.135 95.0001 362.441
  15 0.145 94.9999 359.22
  16 0.155 96.0004 357.395
  17 0.165 95.0528 354.806
  18 0.175 97.4929 353.558
  19 0.185 99.9901 351.478
  20 0.195 107.073 346.101
  21 0.205 98.9245 343.062
  22 0.215 96.4581 341.883
  23 0.225 95.0082 340.059
  24 0.235 96.0001 338.627
  25 0.245 94.9985 336.771
  26 0.255 95.0015 333.357
  27 0.265 96 331.649
  28 0.275 94 329.237
  29 0.285 96.0032 325.625
  30 0.295 95.0573 324.151
  31 0.305 97.6205 321.742
  32 0.315 106.41 321.426
  33 0.325 106.37 320.876
  34 0.335 97.5064 320.599
  35 0.345 95.0328 319.61
  36 0.355 96.0002 316.842
  37 0.365 95 314.328
  38 0.375 96 313.037
  39 0.385 95 311.321
  40 0.395 96 309.613
  41 0.405 96 309.159
  42 0.415 96.0051 308.565
  43 0.425 95.4616 306.444
  44 0.435 102.642 305.113
  45 0.445 107.053 303.088
  46 0.455 98.3941 300.833
  47 0.465 97.4332 298.938
  48 0.475 96.011 298.715
  49 0.485 96.0001 298.24
  50 0.495 94.9998 296.35
  51 0.505 93.9983 291.621
  52 0.515 95.0019 286.224
  53 0.525 95 283.362
  54 0.535 96 281.528
  55 0.545 96.0329 280.869
  56 0.555 97.7074 280.432
  57 0.565 104.251 279.104
  58 0.575 105.624 274.251
  59 0.585 97.3029 272.335
  60 0.595 96.0816 270.42
  61 0.605 96.0006 269.571
  62 0.615 96 269.374
  63 0.625 96 268.969
  64 0.635 96 268.729
  65 0.645 96.0107 268.359
  66 0.655 94.9893 266.63
  67 0.665 96.0085 265.275
  68 0.675 96.839 264.772
  69 0.685 103.359 263.454
  70 0.695 106.412 260.914
  71 0.705 98.2356 258.968
  72 0.715 96.1434 256.527
  73 0.725 95.003 254.572
  74 0.735 96 253.448
  75 0.745 96 252.97
  76 0.755 96 252.623
  77 0.765 96 252.501
  78 0.775 95 251.441
  79 0.785 95.0002 248.319
  80 0.795 96.102 246.581
  81 0.805 101.278 245.813
  82 0.815 105.651 242.277
  83 0.825 98.9069 237.162
  84 0.835 98.039 233.837
  85 0.845 96.0226 233.097
  86 0.855 96 232.441
  87 0.865 95 230.9
  88 0.875 95 227.143
  89 0.885 96 225.144
  90 0.895 95 223.209
  91 0.905 96 221.376
  92 0.915 96 220.622
  93 0.925 96.0961 220.367
  94 0.935 107.373 219.167
  95 0.945 108.481 207.858
  96 0.955 96.0504 202.018
  97 0.965 96 200.692
  98 0.975 96 200.238
  99 0.985 96 0
  100 0.995 96 0
