# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 1967.9999999999995
  1 0.005 24 0
  2 0.015 24 0
  3 0.025 8.04021 359.716
  4 0.035 15.9598 360.642
  5 0.045 24 358.44
  6 0.055 24 349.457
  7 0.065 24 325.024
  8 0.075 23.9684 317.387
  9 0.085 0.048885 314.768
  10 0.095 23.9827 314.325
  11 0.105 24 314.374
  12 0.115 24 312.785
  13 0.125 24 312.034
  14 0.135 13.7772 310.884
  15 0.145 10.2228 310.98
  16 0.155 24 310.277
  17 0.165 24 309.894
  18 0.175 24 309.386
  19 0.185 23.9929 308.875
  20 0.195 0.205196 307.365
  21 0.205 23.8019 308.535
  22 0.215 24 308.113
  23 0.225 24 307.452
  24 0.235 24 306.54
  25 0.245 18.9068 307.088
  26 0.255 5.09324 306.375
  27 0.265 24 306.446
  28 0.275 24 306.078
  29 0.285 24 305.861
  30 0.295 23.9987 305.52
  31 0.305 1.13533 305.425
  32 0.315 22.866 305.116
  33 0.325 24 304.411
  34 0.335 24 303.669
  35 0.345 24 303.886
  36 0.355 21.9507 303.11
  37 0.365 2.04996 303.089
  38 0.375 23.9993 303.245
  39 0.385 24 302.214
  40 0.395 24 302.341
  41 0.405 23.9999 301.989
  42 0.415 3.65685 302.01
  43 0.425 20.3433 301.721
  44 0.435 24 301.328
  45 0.445 24 301
  46 0.455 24 300.421
  47 0.465 23.378 300.754
  48 0.475 0.630411 301.29
  49 0.485 23.9916 299.951
  50 0.495 24 299.478
  51 0.505 24 299.424
  52 0.515 24 298.461
  53 0.525 8.06242 297.526
  54 0.535 15.9376 297.404
  55 0.545 24 298.417
  56 0.555 24 297.539
  57 0.565 24 297.359
  58 0.575 23.8722 297.003
  59 0.585 0.185057 296.67
  60 0.595 23.9427 296.656
  61 0.605 24 296.534
  62 0.615 24 296.449
  63 0.625 24 295.837
  64 0.635 13.7659 296.065
  65 0.645 10.2341 295.817
  66 0.655 24 294.754
  67 0.665 24 295.07
  68 0.675 24 293.646
  69 0.685 23.9869 294.148
  70 0.695 0.280922 295.239
  71 0.705 23.7321 293.768
  72 0.715 24 293.289
  73 0.725 24 292.92
  74 0.735 24 292.168
  75 0.745 19.2497 292.088
  76 0.755 4.75033 291.985
  77 0.765 24 291.794
  78 0.775 24 290.788
  79 0.785 24 290.801
  80 0.795 23.9996 290.301
  81 0.805 0.942076 290.285
  82 0.815 23.0583 290.056
  83 0.825 24 289.38
  84 0.835 24 288.775
  85 0.845 24 288.26
  86 0.855 22.8104 287.988
  87 0.865 1.18959 288.029
  88 0.875 24 286.721
  89 0.885 24 286.528
  90 0.895 24 284.977
  91 0.905 24 284.583
  92 0.915 2.69267 282.301
  93 0.925 21.3073 281.961
  94 0.935 24 274.586
  95 0.945 24 250.446
  96 0.955 24 241.398
  97 0.965 23.9772 239.311
  98 0.975 0.0228464 240.7
  99 0.985 24 0
  100 0.995 24 0
