Time  E1  E2
0  -0  -0
2000  -20.849480531263  17.4052924464218
4000  -37.4422777763406  31.0513764745818
6000  -54.8066373334449  51.6890633029719
8000  -72.4223095519628  72.8744464441871
10000  -91.0564685295676  89.8198877190279
12000  -112.243141099727  107.29933974057
14000  -130.593579002688  123.823998771448
16000  -146.660444316333  140.05656673196
18000  -166.929077493882  159.550363487673
20000  -185.042396468821  177.600915989025
22000  -201.123681862083  196.235101654861
24000  -219.552926583747  215.478329529489
26000  -238.520362972353  233.418607050213
28000  -257.935271478806  252.388824473043
30000  -276.696991786663  269.793999224649
32000  -295.251180604102  286.738425711904
34000  -311.94868899177  306.597128190126
36000  -328.745557956998  325.651351998208
38000  -347.321345846203  344.178840177352
40000  -364.21502328825  363.306102132865
42000  -384.77964170251  380.357987438843
44000  -401.442460539638  399.886546370566
46000  -422.105043141298  415.992033436616
48000  -439.27094220746  431.516876114824
50000  -457.626507675329  451.757444505595
52000  -478.811935744055  469.177738603462
54000  -496.958171579478  488.583215804056
56000  -511.36779322082  507.621574540083
58000  -530.719282529943  524.98165702246
60000  -551.549776879641  543.606928448051
62000  -565.671423895676  562.819334625581
64000  -581.557458597666  582.230721723333
66000  -599.651105882005  599.949826091404
68000  -620.645544192401  618.928941089126
70000  -638.634983801376  636.857635958581
72000  -658.662770927098  653.368797237621
74000  -678.110442453375  672.302061058465
76000  -694.767852877167  689.297743107595
78000  -714.710476780563  707.248846340808
80000  -730.539714496582  724.354432740626
82000  -747.820882878952  742.175327420063
84000  -765.786463897439  760.963983645585
86000  -786.106232908207  780.197090080819
88000  -804.485032941819  797.916443930037
90000  -823.422514537239  815.963786038802
92000  -844.501733185565  835.212034885463
94000  -860.067928602275  854.247525961112
96000  -878.495003541724  870.622229855151
98000  -898.753629335442  890.531797871065
100000  -916.771631611088  907.767113920159
102000  -933.478739442401  928.031591162742
104000  -954.375768124029  946.19012589572
106000  -973.176163720509  965.440538844157
108000  -990.083526368419  984.635325044938
110000  -1007.15425195662  1005.86484374608
112000  -1024.60949258696  1024.36381274729
114000  -1044.03380716279  1041.11610929757
116000  -1062.69063209752  1060.40018234138
118000  -1082.66724200276  1078.9430345901
120000  -1099.84220070181  1094.44680935827
122000  -1115.89107211916  1112.81124127163
124000  -1133.12349370067  1130.89681022876
126000  -1150.81922683606  1149.81181147424
128000  -1167.58511354757  1166.63302666902
130000  -1186.81519300084  1184.06623607099
132000  -1203.66012251681  1201.37006972906
134000  -1220.44847086191  1217.0422300787
136000  -1240.792979994  1236.24961664875
138000  -1259.55244761766  1255.86327041455
140000  -1275.54030410098  1272.83329237577
142000  -1294.37514800387  1292.9575364292
144000  -1313.40896895137  1309.93891616146
146000  -1333.32965617904  1328.64516889956
148000  -1352.31137123256  1346.69630826603
150000  -1368.61564805677  1364.38172833416
152000  -1386.80984717347  1384.06074661793
154000  -1405.43283059725  1401.16267013886
156000  -1425.94377386096  1418.9601972828
158000  -1442.59497346756  1436.87518271776
160000  -1462.5851727241  1454.90665448558
162000  -1480.07494121523  1473.58641546355
164000  -1497.05942248903  1491.87028840104
166000  -1515.92479856088  1510.12414976655
168000  -1534.73084687726  1530.46760547944
170000  -1551.31396467525  1546.95304733911
172000  -1568.97904447657  1565.86301886967
174000  -1589.03522210035  1584.24743123702
176000  -1610.07170511926  1603.91126351126
178000  -1624.33581946196  1619.8801127665
180000  -1643.45546088116  1639.51835370261
182000  -1664.69564997362  1658.76097816992
184000  -1680.85706415525  1678.07400679482
186000  -1699.26302438776  1694.62985770864
188000  -1718.24184096658  1711.5335356041
190000  -1736.12277240124  1730.88529130872
192000  -1756.077511614  1751.31556623074
194000  -1772.81048490186  1766.59006847417
