# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 5904
  1 0.005 48 0
  2 0.015 72 0
  3 0.025 48 393.673
  4 0.035 72 392.049
  5 0.045 48 386.33
  6 0.055 72 370.271
  7 0.065 48 333.628
  8 0.075 71.9995 327.052
  9 0.085 48.0005 325.133
  10 0.095 71.1151 323.488
  11 0.105 48.8849 322.453
  12 0.115 56.0435 322.116
  13 0.125 63.9565 321.008
  14 0.135 48.1529 320.563
  15 0.145 71.8471 319.74
  16 0.155 48.0001 318.53
  17 0.165 71.9999 318.014
  18 0.175 48 317.252
  19 0.185 72 316.578
  20 0.195 48 316.277
  21 0.205 71.9839 315.299
  22 0.215 48.0161 314.707
  23 0.225 69.1247 314.373
  24 0.235 50.8753 313.914
  25 0.245 53.0897 312.816
  26 0.255 66.9103 312.258
  27 0.265 48.0759 311.637
  28 0.275 71.9241 310.853
  29 0.285 48 310.157
  30 0.295 72 309.863
  31 0.305 48 309.193
  32 0.315 71.9999 308.876
  33 0.325 48.0001 307.997
  34 0.335 71.8799 307.695
  35 0.345 48.1201 307.125
  36 0.355 66.2319 306.42
  37 0.365 53.7681 305.8
  38 0.375 51.0735 305.499
  39 0.385 68.9265 304.867
  40 0.395 48.0353 304.326
  41 0.405 71.9647 303.729
  42 0.415 48 303.201
  43 0.425 72 302.587
  44 0.435 48 302.107
  45 0.445 71.9991 301.354
  46 0.455 48.0009 300.893
  47 0.465 71.6095 300.332
  48 0.475 48.3905 299.592
  49 0.485 63.1491 299.302
  50 0.495 56.8509 298.603
  51 0.505 49.7429 298.045
  52 0.515 70.2571 297.502
  53 0.525 48.0128 297.079
  54 0.535 71.9872 296.522
  55 0.545 48 296.034
  56 0.555 72 295.554
  57 0.565 48 294.847
  58 0.575 71.9967 294.508
  59 0.585 48.0033 293.901
  60 0.595 71.2233 293.316
  61 0.605 48.7767 292.863
  62 0.615 60.1394 292.391
  63 0.625 59.8606 292.071
  64 0.635 48.7872 291.481
  65 0.645 71.2128 291.077
  66 0.655 48.0024 290.379
  67 0.665 71.9976 289.906
  68 0.675 48 289.392
  69 0.685 72 288.768
  70 0.695 48 288.139
  71 0.705 71.9962 287.601
  72 0.715 48.0038 287.204
  73 0.725 70.7828 286.888
  74 0.735 49.2172 286.161
  75 0.745 56.9864 285.647
  76 0.755 63.0136 285.055
  77 0.765 48.2373 284.576
  78 0.775 71.7627 283.76
  79 0.785 48.0001 283.044
  80 0.795 71.9999 282.397
  81 0.805 48 281.674
  82 0.815 72 281.013
  83 0.825 48 280.359
  84 0.835 71.9957 279.645
  85 0.845 48.0043 279.272
  86 0.855 70.4434 278.601
  87 0.865 49.5566 277.871
  88 0.875 53.8084 277.457
  89 0.885 66.1916 276.757
  90 0.895 48.0255 275.856
  91 0.905 71.9745 274.71
  92 0.915 48 273.76
  93 0.925 72 272.008
  94 0.935 48 265.836
  95 0.945 72 229.092
  96 0.955 48 213.235
  97 0.965 72 207.327
  98 0.975 48 205.821
  99 0.985 70 0
  100 0.995 50 0
