# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
1000000 100 96980.99999999999
  1 0.005 984 0
  2 0.015 984 0
  3 0.025 952.039 399.763
  4 0.035 973.115 399.626
  5 0.045 974.846 399.547
  6 0.055 974 399.701
  7 0.065 978.868 400.711
  8 0.075 956.054 402.952
  9 0.085 973.78 405.718
  10 0.095 973.297 406.765
  11 0.105 969.195 409.533
  12 0.115 966.629 410.822
  13 0.125 966.779 411.237
  14 0.135 974.129 412.836
  15 0.145 972.145 414.828
  16 0.155 970.448 415.508
  17 0.165 964.762 416.984
  18 0.175 969.427 419.276
  19 0.185 973.582 419.351
  20 0.195 970.08 420.096
  21 0.205 963.125 420.192
  22 0.215 968.663 420.655
  23 0.225 969.03 421.994
  24 0.235 973.776 423.017
  25 0.245 968.266 424.937
  26 0.255 958.026 426.241
  27 0.265 960.436 425.336
  28 0.275 970.61 425.137
  29 0.285 974.184 426.159
  30 0.295 968.467 426.954
  31 0.305 967.734 426.887
  32 0.315 972.105 427.314
  33 0.325 961.37 426.952
  34 0.335 971.001 425.378
  35 0.345 965.564 423.8
  36 0.355 962.416 422.937
  37 0.365 962.324 422.142
  38 0.375 972.216 421.348
  39 0.385 971.924 420.748
  40 0.395 967.473 419.386
  41 0.405 969.038 419.87
  42 0.415 971.27 419.033
  43 0.425 970.629 418.2
  44 0.435 974.748 416.604
  45 0.445 970.27 415.128
  46 0.455 970.557 412.759
  47 0.465 965.286 410.874
  48 0.475 969.511 408.533
  49 0.485 971.212 406.166
  50 0.495 974.116 403.975
  51 0.505 970.475 402.455
  52 0.515 968.421 400.657
  53 0.525 968.665 398.764
  54 0.535 969.909 396.565
  55 0.545 970.122 393.713
  56 0.555 971.885 392.323
  57 0.565 966.996 388.965
  58 0.575 968.696 386.811
  59 0.585 971.494 384.774
  60 0.595 965.197 382.807
  61 0.605 971.005 378.043
  62 0.615 966.451 374.973
  63 0.625 965.784 372.346
  64 0.635 973.394 369.445
  65 0.645 978.739 367.869
  66 0.655 972.778 364.533
  67 0.665 970.855 361.775
  68 0.675 971.738 357.111
  69 0.685 975.639 354.229
  70 0.695 968.84 351.749
  71 0.705 970.249 347.599
  72 0.715 975.378 343.605
  73 0.725 965.895 339.405
  74 0.735 969.455 336.225
  75 0.745 969.935 332.214
  76 0.755 971.318 328.617
  77 0.765 967.794 324.723
  78 0.775 976.435 319.954
  79 0.785 966.755 316.02
  80 0.795 965.137 311.129
  81 0.805 969.188 305.086
  82 0.815 962.184 298.591
  83 0.825 961.334 288.587
  84 0.835 964.005 281.195
  85 0.845 976.775 275.505
  86 0.855 972.906 270.766
  87 0.865 971.976 267.2
  88 0.875 966.409 261.877
  89 0.885 966.113 252.73
  90 0.895 974.648 245.471
  91 0.905 971.811 238.115
  92 0.915 965.812 230.866
  93 0.925 963.318 220.991
  94 0.935 972.563 210.849
  95 0.945 974 200.149
  96 0.955 973 199.838
  97 0.965 973.977 199.833
  98 0.975 951.023 199.829
  99 0.985 984 0
  100 0.995 984 0
