# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 48960.000000000015
  1 0.005 480 0
  2 0.015 504 0
  3 0.025 480 399.55
  4 0.035 495.895 399.79
  5 0.045 488.105 399.766
  6 0.055 480.017 395.914
  7 0.065 503.974 362.36
  8 0.075 480.009 359.126
  9 0.085 491.638 356.974
  10 0.095 492.362 354.703
  11 0.105 480.025 352.887
  12 0.115 503.736 350.781
  13 0.125 480.239 348.895
  14 0.135 488.588 347.276
  15 0.145 495.412 345.506
  16 0.155 480.021 343.655
  17 0.165 503.123 341.755
  18 0.175 480.856 340.068
  19 0.185 486.68 338.656
  20 0.195 497.303 337.178
  21 0.205 480.035 335.549
  22 0.215 502.261 333.989
  23 0.225 481.721 332.231
  24 0.235 485.594 330.85
  25 0.245 498.349 329.466
  26 0.255 480.081 327.87
  27 0.265 501.391 326.407
  28 0.275 482.583 324.909
  29 0.285 485.003 323.59
  30 0.295 498.887 321.906
  31 0.305 480.154 320.474
  32 0.315 500.499 319.244
  33 0.325 483.459 317.613
  34 0.335 484.53 316.028
  35 0.345 499.325 314.846
  36 0.355 480.199 313.606
  37 0.365 499.691 312.238
  38 0.375 484.25 310.917
  39 0.385 484.242 309.646
  40 0.395 499.575 308.063
  41 0.405 480.275 306.636
  42 0.415 499.081 305.339
  43 0.425 484.833 304.108
  44 0.435 484.115 302.88
  45 0.445 499.666 301.663
  46 0.455 480.331 300.225
  47 0.465 498.836 298.723
  48 0.475 485.052 297.448
  49 0.485 483.838 296.315
  50 0.495 499.937 295.216
  51 0.505 480.339 294.021
  52 0.515 498.863 292.867
  53 0.525 485.025 291.701
  54 0.535 483.661 290.173
  55 0.545 500.138 289.05
  56 0.555 480.338 287.782
  57 0.565 498.971 286.312
  58 0.575 484.891 285.271
  59 0.585 483.707 283.868
  60 0.595 500.16 282.466
  61 0.605 480.287 281.063
  62 0.615 499.38 279.907
  63 0.625 484.466 278.851
  64 0.635 483.896 277.283
  65 0.645 500.03 275.975
  66 0.655 480.213 274.834
  67 0.665 499.962 273.634
  68 0.675 483.899 272.581
  69 0.685 484.14 271.212
  70 0.695 499.82 270.102
  71 0.705 480.186 268.671
  72 0.715 501.018 267.413
  73 0.725 482.836 266.458
  74 0.735 484.522 265.195
  75 0.745 499.474 263.96
  76 0.755 480.124 262.738
  77 0.765 502.042 261.442
  78 0.775 481.838 260.005
  79 0.785 484.954 258.82
  80 0.795 499.045 257.699
  81 0.805 480.081 256.449
  82 0.815 502.993 255.084
  83 0.825 480.926 253.7
  84 0.835 485.73 252.515
  85 0.845 498.27 251.128
  86 0.855 480.04 249.735
  87 0.865 503.68 248.303
  88 0.875 480.28 246.971
  89 0.885 487.195 245.393
  90 0.895 496.805 244.059
  91 0.905 480.004 242.172
  92 0.915 503.989 240.722
  93 0.925 480.007 238.834
  94 0.935 490.137 236.082
  95 0.945 493.863 203.962
  96 0.955 480 199.831
  97 0.965 504 199.773
  98 0.975 480 199.822
  99 0.985 495 0
  100 0.995 489 0
