# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 5848
  1 0.005 48 0
  2 0.015 72 0
  3 0.025 48.0002 398.05
  4 0.035 70.9998 397.714
  5 0.045 48.4426 396.331
  6 0.055 69.1636 391.671
  7 0.065 48.3938 381.642
  8 0.075 71.9622 379.321
  9 0.085 48.0378 378.136
  10 0.095 68.4362 375.227
  11 0.105 48.5639 369.907
  12 0.115 54.6672 366.438
  13 0.125 64.3327 364.116
  14 0.135 48.1513 362.031
  15 0.145 70.8487 361.079
  16 0.155 48.0866 360.324
  17 0.165 71.9134 359.891
  18 0.175 48.0086 359.626
  19 0.185 71.9912 358.951
  20 0.195 46.0002 357.204
  21 0.205 71.9445 354.999
  22 0.215 48.0555 353.785
  23 0.225 69.0506 352.639
  24 0.235 49.9499 351.144
  25 0.245 56.3662 349.76
  26 0.255 61.6334 346.612
  27 0.265 47.9293 344.803
  28 0.275 71.0707 342.904
  29 0.285 48.0228 342.152
  30 0.295 71.9772 341.64
  31 0.305 47 339.905
  32 0.315 71.9978 338.772
  33 0.325 47.0021 337.687
  34 0.335 71.7683 336.035
  35 0.345 48.2317 334.428
  36 0.355 66.2256 332.251
  37 0.365 51.7772 329.435
  38 0.375 52.2608 326.507
  39 0.385 65.7364 324.214
  40 0.395 48.5325 323.387
  41 0.405 70.4675 322.101
  42 0.415 47.011 319.791
  43 0.425 71.989 316.847
  44 0.435 47 313.576
  45 0.445 68.9841 310.001
  46 0.455 48.0159 306.75
  47 0.465 71.3686 305.609
  48 0.475 48.6318 305.23
  49 0.485 62.2126 304.198
  50 0.495 55.787 301.487
  51 0.505 51.0347 298.297
  52 0.515 65.963 295.327
  53 0.525 47.0467 292.016
  54 0.535 71.9555 289.394
  55 0.545 48.0001 288.785
  56 0.555 71.9999 288.481
  57 0.565 48 288.184
  58 0.575 71.9947 288.137
  59 0.585 48.0053 287.981
  60 0.595 69.936 286.375
  61 0.605 49.064 285.251
  62 0.615 63.3627 284.771
  63 0.625 55.6366 282.969
  64 0.635 48.3554 280.48
  65 0.645 69.6453 278.692
  66 0.655 48.1543 277.782
  67 0.665 71.8457 277.125
  68 0.675 47.824 276.157
  69 0.685 70.1476 273.581
  70 0.695 49.0727 271.801
  71 0.705 66.221 268.614
  72 0.715 49.7347 264.55
  73 0.725 68.6075 262.855
  74 0.735 48.3925 259.332
  75 0.745 55.4082 256.104
  76 0.755 64.5918 254.888
  77 0.765 49.4732 254.448
  78 0.775 69.5191 252.891
  79 0.785 48.6962 251.266
  80 0.795 69.8193 249.293
  81 0.805 47.4921 245.923
  82 0.815 69.9238 242.327
  83 0.825 47.0762 239.363
  84 0.835 70.0025 236.428
  85 0.845 48.9975 234.845
  86 0.855 66.0942 234.306
  87 0.865 53.9058 233.34
  88 0.875 53.8323 232.075
  89 0.885 64.1677 228.776
  90 0.895 47.1073 227.437
  91 0.905 71.8927 225.309
  92 0.915 47 222.735
  93 0.925 71 219.512
  94 0.935 48 216.134
  95 0.945 72 207.158
  96 0.955 48 203.294
  97 0.965 72 201.79
  98 0.975 48 201.45
  99 0.985 70 0
  100 0.995 50 0
