# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9783.000000000002
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 95 398.489
  4 0.035 96 397.971
  5 0.045 96.0147 395.215
  6 0.055 100.154 384.819
  7 0.065 113.396 357.845
  8 0.075 98.425 353.34
  9 0.085 96.0096 351.933
  10 0.095 96 351.272
  11 0.105 96 350.453
  12 0.115 96 349.417
  13 0.125 96 347.234
  14 0.135 95.0002 341.025
  15 0.145 94.9998 333.609
  16 0.155 96 328.985
  17 0.165 95.0014 323.619
  18 0.175 96.388 321.499
  19 0.185 104.126 320.318
  20 0.195 109.394 319.541
  21 0.205 98.0616 318.871
  22 0.215 96.029 318.798
  23 0.225 96 318.471
  24 0.235 96 317.67
  25 0.245 96 317.117
  26 0.255 96 316.654
  27 0.265 96 316.427
  28 0.275 96 315.788
  29 0.285 96 315.136
  30 0.295 96.0877 314.658
  31 0.305 99.6223 314.066
  32 0.315 109.426 313.633
  33 0.325 102.456 313.005
  34 0.335 96.4065 312.507
  35 0.345 96.0014 312.057
  36 0.355 96 311.431
  37 0.365 96 310.909
  38 0.375 96 310.103
  39 0.385 95 306.844
  40 0.395 96 302.431
  41 0.405 96 301.284
  42 0.415 96.0042 300.092
  43 0.425 95.6417 295.084
  44 0.435 103.795 292.999
  45 0.445 108.42 292.296
  46 0.455 99.068 291.558
  47 0.465 96.0707 291.143
  48 0.475 96.0002 290.756
  49 0.485 96 290.35
  50 0.495 96 289.621
  51 0.505 96 289.329
  52 0.515 96 288.773
  53 0.525 96 288.408
  54 0.535 96.0001 287.807
  55 0.545 96.1445 287.441
  56 0.555 100.037 286.816
  57 0.565 106.727 282.968
  58 0.575 103.516 279.503
  59 0.585 96.5728 278.816
  60 0.595 96.0029 278.214
  61 0.605 96 277.856
  62 0.615 96 277.242
  63 0.625 96 276.713
  64 0.635 96 276.223
  65 0.645 96.0268 275.212
  66 0.655 94.9732 271.461
  67 0.665 96.0045 267.706
  68 0.675 96.7379 266.96
  69 0.685 104.598 266.403
  70 0.695 108.546 265.957
  71 0.705 98.0871 265.354
  72 0.715 96.026 264.834
  73 0.725 96.0001 264.289
  74 0.735 96 264.025
  75 0.745 96 263.534
  76 0.755 96 263.076
  77 0.765 96 262.859
  78 0.775 96 262.415
  79 0.785 96.0001 261.926
  80 0.795 96.0918 261.298
  81 0.805 100.413 260.802
  82 0.815 111.448 260.242
  83 0.825 99.9899 259.67
  84 0.835 96.057 259.043
  85 0.845 96.0001 258.509
  86 0.855 96 257.886
  87 0.865 95 254.232
  88 0.875 96 249.831
  89 0.885 96 248.528
  90 0.895 96 247.802
  91 0.905 96 246.959
  92 0.915 96.0001 246.371
  93 0.925 96.3051 245.406
  94 0.935 110.734 242.65
  95 0.945 104.946 217.179
  96 0.955 96.0146 204.738
  97 0.965 96 201.794
  98 0.975 96 200.973
  99 0.985 96 0
  100 0.995 96 0
