# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9773.999999999996
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 95 398.838
  4 0.035 96 398.233
  5 0.045 96.0327 396.483
  6 0.055 98.5624 388.195
  7 0.065 112.988 364.395
  8 0.075 99.3975 359.999
  9 0.085 96.0197 358.941
  10 0.095 96 358.327
  11 0.105 96 357.301
  12 0.115 95 353.943
  13 0.125 96 350.105
  14 0.135 95.0002 345.424
  15 0.145 94.9998 340.599
  16 0.155 96 336.865
  17 0.165 95.0013 332.697
  18 0.175 96.3449 330.954
  19 0.185 103.421 330.256
  20 0.195 109.694 329.684
  21 0.205 98.4947 329.263
  22 0.215 96.044 328.951
  23 0.225 96 328.498
  24 0.235 96 327.77
  25 0.245 96 327.187
  26 0.255 95 324.149
  27 0.265 96 321.734
  28 0.275 96 320.957
  29 0.285 96.0003 320.574
  30 0.295 96.0986 320.222
  31 0.305 99.4224 319.976
  32 0.315 109.093 319.315
  33 0.325 102.932 319.12
  34 0.335 96.45 318.978
  35 0.345 96.0037 318.386
  36 0.355 96 317.712
  37 0.365 96 317.468
  38 0.375 96 317.029
  39 0.385 95 314.475
  40 0.395 96 311.651
  41 0.405 96 310.764
  42 0.415 96.009 309.751
  43 0.425 95.8789 305.885
  44 0.435 104.566 304.152
  45 0.445 107.964 303.548
  46 0.455 98.5212 303.239
  47 0.465 96.0608 302.785
  48 0.475 96.0001 302.302
  49 0.485 96 301.563
  50 0.495 95 299.26
  51 0.505 96.0001 295.916
  52 0.515 94.9999 292.437
  53 0.525 95 289.191
  54 0.535 96.0001 285.081
  55 0.545 96.0673 283.607
  56 0.555 98.8719 283.167
  57 0.565 104.794 279.616
  58 0.575 104.842 272.969
  59 0.585 96.4013 270.273
  60 0.595 96.0236 266.447
  61 0.605 96.0002 265.169
  62 0.615 96 264.63
  63 0.625 96 264.189
  64 0.635 96 263.711
  65 0.645 96.0062 262.967
  66 0.655 94.9938 259.802
  67 0.665 96.0007 257.608
  68 0.675 96.3245 257.346
  69 0.685 102.259 257.004
  70 0.695 109.546 256.538
  71 0.705 99.7617 256.044
  72 0.715 96.108 255.639
  73 0.725 96.0002 255.231
  74 0.735 96 255.044
  75 0.745 96 254.361
  76 0.755 96 254.091
  77 0.765 96 253.85
  78 0.775 96 253.702
  79 0.785 96.0001 253.305
  80 0.795 96.0731 252.833
  81 0.805 100.626 252.121
  82 0.815 107.956 248.569
  83 0.825 102.168 246.292
  84 0.835 96.1764 245.616
  85 0.845 96.0004 245.09
  86 0.855 96 244.507
  87 0.865 95 242.183
  88 0.875 96 238.322
  89 0.885 96 237.101
  90 0.895 96 236.469
  91 0.905 96 236.286
  92 0.915 96.0001 235.368
  93 0.925 96.2477 234.573
  94 0.935 109.984 232.655
  95 0.945 105.749 213.32
  96 0.955 96.0194 203.61
  97 0.965 96 201.42
  98 0.975 96 200.68
  99 0.985 96 0
  100 0.995 96 0
