# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9736.000000000004
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 95 399.327
  4 0.035 96 399.144
  5 0.045 95.1085 397.774
  6 0.055 97.7598 393.515
  7 0.065 111.184 380.049
  8 0.075 100.844 377.002
  9 0.085 96.1038 376.614
  10 0.095 96.0001 376.29
  11 0.105 96 375.422
  12 0.115 94 372.406
  13 0.125 96 368.788
  14 0.135 95.0004 366.487
  15 0.145 94.9996 363.707
  16 0.155 96.0008 361.641
  17 0.165 95.9469 359.723
  18 0.175 96.1035 357.47
  19 0.185 100.027 354.629
  20 0.195 106.516 349.25
  21 0.205 98.7996 346.15
  22 0.215 95.5929 343.634
  23 0.225 95.0126 340.717
  24 0.235 96.0002 339.222
  25 0.245 93.9975 336.883
  26 0.255 95.0025 332.084
  27 0.265 96 329.694
  28 0.275 94 327.649
  29 0.285 95.0003 323.889
  30 0.295 95.0309 320.64
  31 0.305 96.0929 317.817
  32 0.315 104.245 316.343
  33 0.325 107.716 315.716
  34 0.335 96.7437 314.338
  35 0.345 96.1686 311.766
  36 0.355 96.0024 309.207
  37 0.365 95 307.197
  38 0.375 96 306.207
  39 0.385 95 305.064
  40 0.395 96 303.318
  41 0.405 96 302.552
  42 0.415 96.0029 302.12
  43 0.425 95.2987 300.478
  44 0.435 101.549 299.44
  45 0.445 104.155 296.286
  46 0.455 100.929 293.384
  47 0.465 98.0367 291.417
  48 0.475 96.0288 291.03
  49 0.485 96.0001 290.765
  50 0.495 94.9998 289.143
  51 0.505 93.9949 285.001
  52 0.515 95.0053 279.923
  53 0.525 95 277.408
  54 0.535 96.0002 275.145
  55 0.545 95.0331 273.224
  56 0.555 97.1285 271.989
  57 0.565 99.7184 269.629
  58 0.575 106.565 264.411
  59 0.585 100.222 262.582
  60 0.595 96.3255 260.769
  61 0.605 96.0075 260.245
  62 0.615 96 259.774
  63 0.625 96 259.532
  64 0.635 96 259.616
  65 0.645 96.0052 259.045
  66 0.655 94.9948 257.687
  67 0.665 96.0029 256.39
  68 0.675 96.4429 256.211
  69 0.685 101.097 255.119
  70 0.695 106.641 252.684
  71 0.705 100.394 250.777
  72 0.715 96.4135 249.011
  73 0.725 95.0081 247.051
  74 0.735 96 246.148
  75 0.745 96 245.993
  76 0.755 96 245.861
  77 0.765 96 245.69
  78 0.775 95 244.544
  79 0.785 95.0001 241.997
  80 0.795 96.0654 240.482
  81 0.805 100.323 239.93
  82 0.815 104.797 236.379
  83 0.825 100.244 231.915
  84 0.835 98.5254 229.097
  85 0.845 96.0451 228.327
  86 0.855 96.0003 228.321
  87 0.865 95 226.955
  88 0.875 95 224.015
  89 0.885 96 222.116
  90 0.895 95 220.713
  91 0.905 96 218.646
  92 0.915 96 217.865
  93 0.925 96.0928 217.656
  94 0.935 106.884 216.658
  95 0.945 108.968 206.853
  96 0.955 96.0553 201.72
  97 0.965 96 200.718
  98 0.975 96 200.293
  99 0.985 96 0
  100 0.995 96 0
