# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
2000000 100 19395.999999999996
  1 0.005 192 0
  2 0.015 192 0
  3 0.025 191.645 399.901
  4 0.035 213.739 399.653
  5 0.045 190.109 399.318
  6 0.055 189.506 398.364
  7 0.065 192 393.519
  8 0.075 189 392.981
  9 0.085 190.073 388.376
  10 0.095 204.699 386.669
  11 0.105 200.126 384.635
  12 0.115 191.102 383.113
  13 0.125 191 382.787
  14 0.135 191.016 381.903
  15 0.145 187.879 377.963
  16 0.155 194.049 373.999
  17 0.165 206.905 372.428
  18 0.175 195.143 372.361
  19 0.185 192.007 372.214
  20 0.195 191.009 371.561
  21 0.205 190.575 369.631
  22 0.215 198.052 368.202
  23 0.225 204.109 367.411
  24 0.235 192.164 363.632
  25 0.245 188.091 362.635
  26 0.255 192.041 359.605
  27 0.265 191.852 358.209
  28 0.275 196.328 354.941
  29 0.285 200.033 353.03
  30 0.295 194.433 349.401
  31 0.305 189.312 345.724
  32 0.315 191.252 343.94
  33 0.325 189.76 342.153
  34 0.335 190.618 338.082
  35 0.345 202.839 336.464
  36 0.355 196.581 333.635
  37 0.365 192.937 332.534
  38 0.375 190.031 330.581
  39 0.385 190.087 328.686
  40 0.395 193.975 327.07
  41 0.405 198.506 325.661
  42 0.415 198.608 321.476
  43 0.425 191.64 319.461
  44 0.435 188.16 316.491
  45 0.445 189.004 312.789
  46 0.455 190.251 310.08
  47 0.465 197.228 308.493
  48 0.475 201.81 305.712
  49 0.485 194.308 304.991
  50 0.495 190.34 301.986
  51 0.505 191.084 300.115
  52 0.515 187.016 298.015
  53 0.525 194.226 295.342
  54 0.535 195.954 292.528
  55 0.545 201.288 289.257
  56 0.555 193.475 288.184
  57 0.565 189.022 286.917
  58 0.575 191.256 284.37
  59 0.585 190.337 281.873
  60 0.595 200.932 279.019
  61 0.605 198.322 277.298
  62 0.615 189.832 273.281
  63 0.625 190.322 269.216
  64 0.635 188.046 267.303
  65 0.645 191.094 262.508
  66 0.655 197.471 260.306
  67 0.665 201.085 258.674
  68 0.675 194.824 256.661
  69 0.685 189.417 254.133
  70 0.695 191.066 251.61
  71 0.705 190.762 250.575
  72 0.715 197.985 249.279
  73 0.725 202.698 248.538
  74 0.735 197.168 248.361
  75 0.745 191.36 248.185
  76 0.755 191.11 247.441
  77 0.765 192.055 245.596
  78 0.775 192.621 243
  79 0.785 202.888 239.901
  80 0.795 193.628 239.186
  81 0.805 191.72 237.523
  82 0.815 191.363 235.57
  83 0.825 187.05 230.759
  84 0.835 191.213 227.243
  85 0.845 205.563 224.492
  86 0.855 196.403 222.601
  87 0.865 192.409 222.149
  88 0.875 188 219.424
  89 0.885 190.227 216.111
  90 0.895 192.025 214.217
  91 0.905 211.583 213.869
  92 0.915 192.82 212.876
  93 0.925 189.345 209.676
  94 0.935 191 207.158
  95 0.945 191 201.478
  96 0.955 190.008 200.171
  97 0.965 201.091 199.921
  98 0.975 200.901 199.972
  99 0.985 192 0
  100 0.995 192 0
