Time  E1  E2
0  -0  -0
2000  -2.47989066094171  0.276852310501875
4000  -0.792535457861877  3.49215854523239
6000  2.39284396872284  4.25415085703274
8000  -2.46066146455935  5.00988905973563
10000  -6.1962535247541  6.64241982915488
12000  -3.7666974106715  8.37198348124305
14000  -5.39266949862653  11.7410972268078
16000  -14.5555440232389  13.5594829613897
18000  -16.2387132343312  14.8026014603431
20000  -19.1893029873967  19.3983114619711
22000  -22.1357345176455  22.8939864214044
24000  -26.528195351461  24.529081171784
26000  -24.7828520632837  26.0650817584154
28000  -27.3303785578139  28.4101003681397
30000  -28.6820183629338  31.2832416836858
32000  -31.1362941883133  30.7880724125846
34000  -26.9144558870533  33.0973682102693
36000  -26.6168353288236  36.2012145798641
38000  -27.4956009285943  36.861519842238
40000  -30.1488615882194  39.9981454464255
42000  -35.4808247048775  42.0686543904864
44000  -34.1698571168538  43.9301262584009
46000  -37.3107047453632  46.0995239939522
48000  -39.0313895727348  47.9589101179672
50000  -38.1501406521113  49.9490525784172
52000  -42.2025778650076  51.7836796323085
54000  -41.949999496936  52.6643993679556
56000  -43.4457657982893  55.8604966076826
58000  -43.8349553161609  60.2280363043455
60000  -46.5374430378904  60.2328116445678
62000  -46.0629725109362  62.5511012919164
64000  -49.1383604651589  63.0593661107162
66000  -49.1071884475295  66.8266310009215
68000  -53.2891433518035  69.2734165352672
70000  -51.2790410799617  72.9112745757367
72000  -60.1840374604598  72.8482180159264
74000  -60.4213266193084  73.9754752876475
76000  -63.0622708079998  75.337936075891
78000  -62.9930349962407  77.7244340033757
80000  -69.452538972816  79.218997117151
82000  -71.3015014383351  82.1200772458902
84000  -67.6248556575656  84.4430596759178
86000  -69.6698570854332  85.6633902781327
88000  -73.9644033039196  89.095078791356
90000  -76.7063145093534  87.730284235505
92000  -80.2174039306893  92.2082522765741
94000  -79.6177253296625  94.2542536552533
96000  -81.2602396912171  95.2695313548063
98000  -81.5794868897581  99.5409562620768
100000  -83.7031462158811  101.707372054819
102000  -83.0867923618841  101.608131426191
104000  -88.9487416052371  101.255319359541
106000  -88.5662663256795  102.738507054065
108000  -89.4522063178147  102.604774912928
110000  -90.1463045549599  105.667566836909
112000  -95.9728108654575  108.762848303448
114000  -94.9438627860896  109.635658857823
116000  -98.580792833141  112.724192363525
118000  -96.377421239759  115.545319324994
120000  -98.6082158736008  118.693284204925
122000  -103.218550540217  119.300488852801
124000  -96.2990107539923  119.948317542423
126000  -101.113676943987  122.564090757736
128000  -102.62651374651  124.968018289844
130000  -101.538820944857  126.677583638557
132000  -104.668222816084  128.570812363464
134000  -110.064239870861  128.848843513438
136000  -112.585314787948  133.229608414962
138000  -109.612619440856  134.763191297607
140000  -109.879031477486  135.319996655693
142000  -110.884136122627  139.124894804146
144000  -114.003294064211  139.437614815314
146000  -117.101853170857  142.167402771907
148000  -116.864539386016  144.174961904922
150000  -120.935384297365  146.825840247248
152000  -121.356306134006  149.004115448161
154000  -126.445837082435  150.735025509182
156000  -121.907307222703  154.242713819594
158000  -123.110481643626  154.964598139761
160000  -126.313357348666  157.309382524161
162000  -123.803423137944  159.850902684107
164000  -125.89233839723  162.779838733032
166000  -129.820769054455  162.196958744746
168000  -130.431277018627  163.529045233727
170000  -129.606907434518  164.995822827327
172000  -135.348332994796  164.985592397997
174000  -136.423076224472  167.124830064247
176000  -136.329754124479  169.490079423383
178000  -140.417238506734  169.99436349809
180000  -137.414482638574  171.370195252985
182000  -140.841255883817  175.336068432362
184000  -142.578329405461  174.470285898661
186000  -145.240882597205  176.759746514304
188000  -145.204442607932  178.6973299437
190000  -145.741949149129  180.266233805483
192000  -153.433490941505  183.164789270208
194000  -146.324523468316  186.044260456764
196000  -150.861805704592  190.999681906816
198000  -150.358824194082  191.461496847858
200000  -156.536257635421  193.674856241857
202000  -152.618195209591  196.256819085346
204000  -158.764378026243  198.446177874986
206000  -163.560367675727  198.587896863283
208000  -165.587001351995  200.819168578077
210000  -165.259051974435  201.648974194495
212000  -171.541568247201  203.283278100123
214000  -167.488153123603  204.986616330618
216000  -172.723953933745  207.668085495539
218000  -175.576909004662  208.895094840103
220000  -176.461229680496  211.755141437684
222000  -174.921117281452  213.439344519887
224000  -176.532335995852  214.405374570741
226000  -178.208428126127  217.987090945657
228000  -173.999480966874  219.740182565262
230000  -178.218744891788  221.750300492292
232000  -180.052413376048  221.550875635266
234000  -181.843859807738  222.580789759852
236000  -186.583146960618  226.010885079263
238000  -185.379519844387  227.967614719278
240000  -189.812264048398  227.825312004787
242000  -192.054940869511  230.528521361157
244000  -189.456354467216  235.369417134676
246000  -196.660976248848  235.400686345588
248000  -197.049619145029  236.348466606362
250000  -199.060649072022  237.822996608162
252000  -198.798675059225  238.985815740687
254000  -198.99961866908  240.569764426275
256000  -202.816485935547  242.237978378635
258000  -206.166146543357  243.260156787747
260000  -204.372594534294  246.639352747231
262000  -205.602240843378  247.370805823543
264000  -206.928001407312  248.847414535072
266000  -207.519229854053  249.502306147523
268000  -211.901332021959  253.983924168849
270000  -216.387306491564  253.548449696219
272000  -217.052046093769  257.002966018196
274000  -222.279476278418  256.656345233596
276000  -214.851085591237  261.251188257651
278000  -220.436100943097  263.745544554908
280000  -222.627082808116  266.401162556329
282000  -225.300210010886  269.148807376759
284000  -230.700538625194  268.302968280845
286000  -225.556664064202  272.961867411337
288000  -231.923733714492  275.268419036867
290000  -234.401744148716  276.949615480156
292000  -230.228945942125  277.570511736912
294000  -236.120955364535  278.366208580293
296000  -235.705877592026  282.367485651827
298000  -236.698764347413  283.565725073933
300000  -238.226289243438  286.677601039769
302000  -244.404820246382  287.755024970383
304000  -240.675038861999  288.13163234493
306000  -246.588886271254  286.902298042153
308000  -248.689961253598  288.319770476409
310000  -247.28808587922  293.417605936327
312000  -253.149430898933  296.048979663648
314000  -251.453559875108  296.226600300888
316000  -256.90046708888  298.648562816414
318000  -256.901936598421  300.22195677438
320000  -259.024565430024  300.768596608889
322000  -262.575244351277  304.652632875545
324000  -259.748399807882  303.474377527389
326000  -255.411471451064  306.969215351685
328000  -260.432031062387  306.358197196954
330000  -262.887768516846  308.764755471157
332000  -265.249548940604  309.004310808595
334000  -267.599876612903  310.922723823805
336000  -270.497620145693  312.948671312735
338000  -271.860599268939  315.677403899262
340000  -267.634952153997  319.898353935921
342000  -272.959778492209  320.477795545013
344000  -276.839745712839  324.164334558155
346000  -275.450292024104  323.821284740435
348000  -277.005440830956  328.568557797675
350000  -276.730683051158  330.37307284036
352000  -281.539832666021  330.66760981917
354000  -282.656061181727  332.600613914857
356000  -286.690387120933  335.102480634641
358000  -285.401366878281  335.810345530464
360000  -291.751928485161  339.701632648061
362000  -292.214297539011  341.571374768434
364000  -290.853831187287  344.973676062306
366000  -292.104311529828  346.541516741875
368000  -293.407091102748  347.439728071249
370000  -293.672415453213  350.079438031646
372000  -300.264052646529  351.684061585876
374000  -304.586703972479  353.289104424244
376000  -310.075871551796  355.115400648229
378000  -304.630138346297  354.884827662005
380000  -309.645757750904  354.923294322046
382000  -309.720246686022  357.809439220951
384000  -313.701380236617  361.338473629971
386000  -307.026759214368  365.301564619644
388000  -313.567823632383  366.502495583223
390000  -316.850915825952  364.920020433476
392000  -316.44939061713  369.916015924735
394000  -321.336349916439  368.965758163014
396000  -326.126768229596  371.051236200407
398000  -319.557165593053  373.047710975072
400000  -328.315488000941  375.633573558203
402000  -324.636593887717  378.831088985476
404000  -329.464007448096  380.461925258467
406000  -328.958707201842  382.465854551844
408000  -332.457128558025  386.38826304057
410000  -331.58236225139  386.467900042129
412000  -331.798544370849  388.436784817562
414000  -335.596110772894  388.265195868802
416000  -335.100096811832  394.625857233388
418000  -342.535173883232  396.515084732227
420000  -339.430924701775  400.910461989666
422000  -341.244095193922  398.061476509282
424000  -343.909435515804  402.688707485634
426000  -343.720371457454  404.706420416906
428000  -349.579941040467  403.426996139205
430000  -350.480807954401  403.432219190209
432000  -350.807095628868  406.734574671029
434000  -353.088673593802  407.759746518315
436000  -356.656782870663  409.679910935298
438000  -356.798473670766  413.740692139002
440000  -363.381652258867  416.860693832512
442000  -359.817433670128  418.390456926639
444000  -361.777006954901  417.641106043817
446000  -362.699062897256  422.8870722396
448000  -365.412426917032  423.077367016838
450000  -368.706297972328  425.723029879422
452000  -367.143630925608  425.475409595296
454000  -369.693377078903  427.206928652114
456000  -370.009969354007  428.056303643021
458000  -376.14089276491  429.51886894781
460000  -372.54944836375  432.15906028285
462000  -377.471729025687  434.295817012578
464000  -374.92585536387  436.826716882939
466000  -379.197782537538  438.200002945123
468000  -377.476554437016  442.389851444737
470000  -378.649741783162  442.968855573243
472000  -381.960604892921  443.411238223392
474000  -385.376278426609  447.002427135649
476000  -387.077265427865  447.289824361943
478000  -387.6709634968  451.193875982625
480000  -388.078405885647  453.194374749512
482000  -387.53355156403  453.47502474362
484000  -393.849228704303  456.15312925099
486000  -391.626345578421  458.156461305925
488000  -396.802070419378  461.691386212864
490000  -402.588500825008  460.461851196085
492000  -404.667685595127  463.722776045518
494000  -407.245137566262  464.743053673965
496000  -411.437855571719  467.280994199062
498000  -410.762287592074  469.709158369875
500000  -415.171571410958  471.024369744317
502000  -419.245270081687  473.242362561014
504000  -417.254126662382  471.546556171145
506000  -420.315561219721  474.794498027783
508000  -423.638370048527  473.513856440854
510000  -426.817621514942  475.363378606878
512000  -424.474734746779  477.593379785452
514000  -430.150389473473  479.384058281617
516000  -427.517155489549  483.136597075018
518000  -429.018346446832  482.910884894318
520000  -431.456784531284  485.313707808433
522000  -434.823467093882  486.179241820773
524000  -431.571119808019  485.612686393532
526000  -432.511989881809  489.852693580088
528000  -434.77993994121  492.329094627683
530000  -432.381211459331  493.001776983737
532000  -438.931325168209  493.241230508509
534000  -442.105313932399  495.440416548049
536000  -442.227405338326  499.186431613041
538000  -442.500004528098  500.857254319765
540000  -443.198777907801  501.773524722649
542000  -441.911698539967  504.75774564538
544000  -439.763617946483  507.21839032674
546000  -449.814931460478  507.768630191771
548000  -446.215865773837  508.592737170597
550000  -451.415392856881  511.716269443573
552000  -451.881871445506  512.991928873488
554000  -457.359757877247  515.199220593701
556000  -456.658247508002  516.654563574084
558000  -455.606789604539  518.857866309318
560000  -454.598515511202  520.626314953518
562000  -458.550108093541  522.301865789394
564000  -460.355147781452  522.994664031844
566000  -457.136981285872  523.953608526711
568000  -459.89737573545  527.795897232338
570000  -466.161132565707  527.94633634088
572000  -465.569286342772  532.09588919867
574000  -470.032536121277  534.315211019802
576000  -472.272344641603  537.537013147951
578000  -476.427824289935  536.118256143684
580000  -474.729944210318  540.114346748337
582000  -472.679080557081  540.345099619413
584000  -480.718634931299  541.302912287791
586000  -479.072850353858  543.676372336369
588000  -482.492154707598  546.789670275971
590000  -479.772505257535  548.64202181508
592000  -483.200052374054  549.797462392334
594000  -485.950108340106  552.756753369976
596000  -483.104914611898  552.185780852468
598000  -485.374504187189  555.614645748829
600000  -489.978377812664  557.184459425861
602000  -495.632198492261  558.460680070188
