# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 19584.000000000007
  1 0.005 192 0
  2 0.015 192 0
  3 0.025 192.402 399.36
  4 0.035 214.896 399.453
  5 0.045 192.702 398.206
  6 0.055 192 387.397
  7 0.065 192 346.806
  8 0.075 192 343.43
  9 0.085 192.064 341.893
  10 0.095 209.406 340.079
  11 0.105 198.529 338.33
  12 0.115 192.001 336.796
  13 0.125 192 335.579
  14 0.135 192 334.048
  15 0.145 192.007 333.036
  16 0.155 200.601 332.159
  17 0.165 207.29 330.764
  18 0.175 192.102 329.84
  19 0.185 192 328.582
  20 0.195 192 327.517
  21 0.205 192.002 326.271
  22 0.215 195.155 325.103
  23 0.225 211.602 324.114
  24 0.235 193.241 323.38
  25 0.245 192 322.06
  26 0.255 192 320.712
  27 0.265 192 319.764
  28 0.275 192.907 318.82
  29 0.285 210.233 317.882
  30 0.295 196.853 316.816
  31 0.305 192.007 315.743
  32 0.315 192 315.058
  33 0.325 192 313.975
  34 0.335 192.215 312.95
  35 0.345 205.371 312.078
  36 0.355 202.322 310.846
  37 0.365 192.092 309.865
  38 0.375 192 308.782
  39 0.385 192 307.766
  40 0.395 192.032 306.903
  41 0.405 199.602 305.867
  42 0.415 207.8 304.731
  43 0.425 192.566 303.738
  44 0.435 192 302.85
  45 0.445 192 302.01
  46 0.455 192.004 301.104
  47 0.465 195.395 300.065
  48 0.475 210.561 299.253
  49 0.485 194.039 298.3
  50 0.495 192 297.281
  51 0.505 192 296.216
  52 0.515 192 295.549
  53 0.525 193.165 294.745
  54 0.535 209.807 293.664
  55 0.545 197.016 292.76
  56 0.555 192.011 291.93
  57 0.565 192 290.763
  58 0.575 192 289.91
  59 0.585 192.284 288.909
  60 0.595 206.193 288.033
  61 0.605 201.457 286.947
  62 0.615 192.067 286.16
  63 0.625 192 285.361
  64 0.635 192 284.519
  65 0.645 192.044 283.801
  66 0.655 201.096 282.938
  67 0.665 206.573 281.696
  68 0.675 192.287 280.467
  69 0.685 192 279.778
  70 0.695 192 278.882
  71 0.705 192.003 277.87
  72 0.715 196.685 276.842
  73 0.725 210.436 275.965
  74 0.735 192.876 274.968
  75 0.745 192 274.021
  76 0.755 192 273.045
  77 0.765 192 272.088
  78 0.775 193.611 271.048
  79 0.785 212.29 269.965
  80 0.795 194.098 269.071
  81 0.805 192 267.94
  82 0.815 192 267.002
  83 0.825 192 265.911
  84 0.835 192.265 264.864
  85 0.845 211.346 263.792
  86 0.855 196.388 262.852
  87 0.865 192 261.839
  88 0.875 192 260.674
  89 0.885 192 259.696
  90 0.895 192.007 258.219
  91 0.905 207.526 257.083
  92 0.915 200.467 255.831
  93 0.925 192 254.513
  94 0.935 192 251.265
  95 0.945 192 212.014
  96 0.955 192 201.263
  97 0.965 199.136 200.159
  98 0.975 208.864 199.896
  99 0.985 192 0
  100 0.995 192 0
