# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9792
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 96 1098.86
  4 0.035 96.001 1097.66
  5 0.045 96.1418 1094.74
  6 0.055 98.2456 1083.85
  7 0.065 104.592 1059.93
  8 0.075 105.361 1054.41
  9 0.085 99.2373 1051.89
  10 0.095 96.4005 1051.08
  11 0.105 96.0199 1049.3
  12 0.115 96.0004 1047.54
  13 0.125 96 1046.91
  14 0.135 96 1045.78
  15 0.145 96.0002 1042.6
  16 0.155 96.0082 1041.82
  17 0.165 96.1452 1040.44
  18 0.175 97.2579 1038.41
  19 0.185 100.919 1037.7
  20 0.195 104.396 1036.24
  21 0.205 102.463 1034.86
  22 0.215 98.3397 1033.83
  23 0.225 96.4289 1032.37
  24 0.235 96.0398 1030.37
  25 0.245 96.0017 1028.62
  26 0.255 96 1028.59
  27 0.265 96.0001 1027.33
  28 0.275 96.0038 1025.94
  29 0.285 96.0704 1025.72
  30 0.295 96.6245 1024.01
  31 0.305 98.8519 1021.76
  32 0.315 102.579 1020.65
  33 0.325 103.623 1018.93
  34 0.335 100.518 1017.97
  35 0.345 97.4581 1016.81
  36 0.355 96.2506 1015.09
  37 0.365 96.0193 1013.86
  38 0.375 96.0006 1013.11
  39 0.385 96 1011.03
  40 0.395 96.0008 1010.68
  41 0.405 96.0187 1009.3
  42 0.415 96.2351 1008.18
  43 0.425 97.4563 1007.57
  44 0.435 100.555 1007.1
  45 0.445 103.471 1005.21
  46 0.455 102.447 1003.23
  47 0.465 98.9912 1001.8
  48 0.475 96.7354 999.933
  49 0.485 96.0845 999.007
  50 0.495 96.0044 997.713
  51 0.505 96.0001 996.902
  52 0.515 96.0001 995.959
  53 0.525 96.0036 993.955
  54 0.535 96.0632 993.025
  55 0.545 96.61 993.068
  56 0.555 98.7462 991.683
  57 0.565 102.279 990.485
  58 0.575 103.559 989.264
  59 0.585 100.827 987.805
  60 0.595 97.6163 985.728
  61 0.605 96.2727 984.675
  62 0.615 96.0213 983.313
  63 0.625 96.0008 982.125
  64 0.635 96 981.143
  65 0.645 96.0007 979.756
  66 0.655 96.0173 978.782
  67 0.665 96.227 977.736
  68 0.675 97.4243 976.88
  69 0.685 100.645 975.663
  70 0.695 103.797 973.964
  71 0.705 102.56 972.104
  72 0.715 98.7041 971.434
  73 0.725 96.5621 969.974
  74 0.735 96.06 968.71
  75 0.745 96.0032 967.339
  76 0.755 96.0001 966.224
  77 0.765 96 965.31
  78 0.775 96.0022 964.092
  79 0.785 96.0454 962.784
  80 0.795 96.5048 961.873
  81 0.805 98.8635 959.806
  82 0.815 103.478 959.168
  83 0.825 104.42 957.051
  84 0.835 99.8823 955.884
  85 0.845 96.7388 955.322
  86 0.855 96.0621 954.136
  87 0.865 96.0022 951.638
  88 0.875 96 949.733
  89 0.885 96 948.512
  90 0.895 96 946.878
  91 0.905 96.0007 945.961
  92 0.915 96.0368 944.07
  93 0.925 96.8099 941.624
  94 0.935 101.892 937.37
  95 0.945 107.816 913.674
  96 0.955 101.119 903.294
  97 0.965 96.3234 900.455
  98 0.975 96.001 899.991
  99 0.985 96 0
  100 0.995 96 0
