Time  E1  E2
0  -0  -0
2000  -14.3995126587751  1.06779527939374
4000  -30.3609932828234  16.0382787492828
6000  -33.1491598654513  17.6241541472856
8000  -58.7543066604295  31.4788275857557
10000  -57.9022134788175  51.6544179041403
12000  -70.7522278969059  62.8244207438062
14000  -87.7019944065701  65.3079870925078
16000  -100.014973156254  80.3902305543127
18000  -113.455711683375  100.221883595057
20000  -130.336031318179  103.649701576192
22000  -133.892126513839  122.98006080026
24000  -149.207767805418  141.037155387118
26000  -158.955729634757  147.474990706729
28000  -169.879424459854  161.696162922748
30000  -179.414222905752  170.038016842547
32000  -187.36674550979  183.092000239518
34000  -202.959893551974  193.794894076973
36000  -205.229969610235  200.732638407244
38000  -220.487526287917  209.149387013747
40000  -224.420628246175  217.504200910418
42000  -233.638856657837  228.228782082259
44000  -248.803254486171  240.796219208647
46000  -260.647108602038  247.049086874299
48000  -272.334117984017  258.089734184786
50000  -285.073285035337  273.595864332609
52000  -290.691760277861  284.633617001442
54000  -287.479153512122  295.78202473402
56000  -315.270352867166  303.136190894692
58000  -326.653954220864  306.859569963384
60000  -341.230969370813  314.192201370734
62000  -352.959061723629  333.861900883757
64000  -360.767168594723  354.125377794262
66000  -370.273332473457  364.433989321143
68000  -381.565349051342  368.819060929825
70000  -398.400301873415  391.465405181793
72000  -404.549773363369  408.891557291739
74000  -409.564026872376  424.604721813607
76000  -436.411690738891  434.765707556899
78000  -445.890466033229  435.748966551776
80000  -454.437271239281  461.167838769088
82000  -465.851547063831  474.1105717093
84000  -480.02093455355  471.789922407109
86000  -486.189088197344  492.545438224056
88000  -492.85720094949  492.371941457949
90000  -504.478711186523  511.660505597804
92000  -497.156018105151  518.801005049383
94000  -527.417945914245  521.308657622266
96000  -534.782884684948  543.002694115234
98000  -547.059677291522  546.628592784279
100000  -555.171984818553  559.894807102391
102000  -571.019298407695  573.669037119906
104000  -573.685506651822  584.121542587061
106000  -577.870147882123  594.855494284567
108000  -592.219015617552  604.329882056901
110000  -611.094008223126  615.809549295294
112000  -627.89745757343  627.721520963282
114000  -650.064568163435  633.911427511124
116000  -654.658609083603  641.096686110002
118000  -679.231119595877  651.397357443999
120000  -678.2228030503  670.607250481614
122000  -693.808298553047  669.644809668692
124000  -709.752205599113  694.876355161335
126000  -721.526541685865  702.563005074487
128000  -732.58495131271  717.104587492074
130000  -744.270741392643  728.495362102904
132000  -764.163544274862  738.489586777177
134000  -777.629627903166  743.71187401264
136000  -783.335309769682  757.915611606155
138000  -795.982328113037  776.133049364001
140000  -805.859851315582  780.85121978974
142000  -808.949609826002  784.685582322409
144000  -814.47323792107  804.765240755456
146000  -828.832669058723  805.886647084655
148000  -840.286868884167  812.790982038181
150000  -855.923516650051  822.140898395964
152000  -872.465889627993  849.069554015304
154000  -880.835861839256  858.060683763716
156000  -875.244092192058  871.831742839003
158000  -892.176804325092  876.731785321327
160000  -892.561670435423  893.399052410267
162000  -906.756508234294  901.27230270468
164000  -913.674851241488  909.66179204496
166000  -917.700507441614  918.53098889322
168000  -938.799314126874  938.798088474836
170000  -934.861847039359  945.986337565346
172000  -949.903524715952  957.706698483699
174000  -961.150541674335  967.827661033545
176000  -972.091845593267  977.143033463392
178000  -978.747094168459  991.496373788335
180000  -990.277364725566  1007.3805727887
182000  -990.283755543065  1006.7804728419
184000  -1006.40616445963  1019.84353803973
186000  -1021.50036738012  1033.87224972202
188000  -1031.92545944201  1039.57463180909
190000  -1034.85536832793  1051.35890581977
192000  -1053.9548593748  1059.58532735334
194000  -1055.77849636139  1063.52913422967
196000  -1067.87869833115  1079.36079024256
198000  -1083.53335680722  1093.30362963118
200000  -1094.9959315569  1105.14012902358
202000  -1102.44465613288  1117.80684414217
204000  -1111.36760802101  1137.17416226793
206000  -1121.72764966361  1139.15571314673
208000  -1130.89658455793  1148.27780906418
210000  -1150.32124183477  1162.66528703606
212000  -1169.15516522602  1172.21061474391
214000  -1173.70355186933  1178.60249280843
216000  -1192.56041440843  1183.53437011268
218000  -1198.1730725382  1196.66367171749
220000  -1214.53380699357  1204.88399563519
222000  -1226.30912989922  1212.94319296199
224000  -1238.61905489797  1225.38533779215
226000  -1248.31649025719  1237.26565463752
228000  -1277.64245679061  1238.51419085747
230000  -1282.10671689862  1249.14718579429
232000  -1291.5471948211  1264.5463778182
234000  -1307.90463772425  1280.85798272533
236000  -1318.9555216004  1294.36427870336
238000  -1320.49275848633  1306.56068858186
240000  -1335.56023770563  1309.53416914718
242000  -1348.13289270942  1330.39687935381
244000  -1356.71601878713  1329.32235840583
246000  -1368.10625178659  1343.15537909013
248000  -1384.73915964647  1366.04755750171
250000  -1389.90273271257  1373.63413141461
252000  -1389.17680601725  1383.87583498186
254000  -1403.01077560098  1390.31356453934
256000  -1399.20959255265  1403.79258241386
258000  -1415.60913048053  1418.39749812815
260000  -1429.76040756648  1419.94240615289
262000  -1446.35980144282  1438.06784925205
264000  -1466.52801944777  1441.45472405332
266000  -1480.41749408048  1453.30252929841
268000  -1487.69974970207  1465.93339607109
270000  -1493.14893810581  1483.77624884081
272000  -1511.17450541721  1496.00010851988
274000  -1516.32689242958  1508.45686645374
276000  -1530.96486054646  1522.98775453214
278000  -1543.13209354775  1530.91282175371
280000  -1558.34700971915  1543.85290896445
282000  -1567.64413525101  1548.1138325096
