# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 1968
  1 0.005 24 0
  2 0.015 24 0
  3 0.025 4.57333 1064.16
  4 0.035 19.4267 1067.17
  5 0.045 24 1064.08
  6 0.055 24 1055.82
  7 0.065 24 1033.72
  8 0.075 21.134 1025.71
  9 0.085 3.11215 1023.98
  10 0.095 23.7539 1023.12
  11 0.105 24 1021.17
  12 0.115 24 1019.91
  13 0.125 23.9547 1019.31
  14 0.135 8.58231 1018.55
  15 0.145 15.4681 1018.86
  16 0.155 23.9948 1018.65
  17 0.165 24 1018.04
  18 0.175 23.9999 1016.44
  19 0.185 21.9181 1015.63
  20 0.195 3.11698 1015.63
  21 0.205 22.9651 1013.82
  22 0.215 23.9999 1012.88
  23 0.225 24 1012.4
  24 0.235 23.9638 1012.63
  25 0.245 11.8986 1011.8
  26 0.255 12.1738 1010.91
  27 0.265 23.9638 1010.25
  28 0.275 24 1009.37
  29 0.285 23.9999 1007.99
  30 0.295 22.6993 1009.08
  31 0.305 3.58295 1008.06
  32 0.315 21.7182 1007.36
  33 0.325 23.9996 1006.92
  34 0.335 24 1006.67
  35 0.345 23.982 1005.78
  36 0.355 14.8602 1006.24
  37 0.365 9.28164 1004.69
  38 0.375 23.8762 1004.61
  39 0.385 24 1004.1
  40 0.395 24 1003.43
  41 0.405 23.2796 1002.5
  42 0.415 4.70214 1001.72
  43 0.425 20.0199 1001.53
  44 0.435 23.9984 1000.79
  45 0.445 24 1000.57
  46 0.455 23.9929 999.653
  47 0.465 17.5317 999.849
  48 0.475 6.7877 998.901
  49 0.485 23.6877 998.874
  50 0.495 24 997.661
  51 0.505 24 998.483
  52 0.515 23.65 996.349
  53 0.525 6.56287 996.647
  54 0.535 17.7936 996.275
  55 0.545 23.9935 995.432
  56 0.555 24 995.391
  57 0.565 23.9981 994.163
  58 0.575 19.8212 993.686
  59 0.585 4.85039 994.997
  60 0.595 23.3304 992.753
  61 0.605 24 991.889
  62 0.615 24 992.961
  63 0.625 23.8639 990.883
  64 0.635 9.06053 990.75
  65 0.645 15.0926 991.357
  66 0.655 23.9829 990.223
  67 0.665 24 989.768
  68 0.675 23.9996 988.697
  69 0.685 21.6367 988.215
  70 0.695 3.60947 988.795
  71 0.705 22.7543 987.875
  72 0.715 23.9999 986.644
  73 0.725 24 985.151
  74 0.735 23.9598 985.12
  75 0.745 12.1053 983.948
  76 0.755 11.9689 982.432
  77 0.765 23.966 983.396
  78 0.775 24 981.629
  79 0.785 23.9999 980.577
  80 0.795 22.9516 979.913
  81 0.805 3.15446 979.769
  82 0.815 21.8941 978.781
  83 0.825 23.9999 979.278
  84 0.835 24 978.02
  85 0.845 23.9935 976.701
  86 0.855 15.6698 975.81
  87 0.865 8.38575 975.682
  88 0.875 23.9509 974.793
  89 0.885 24 973.773
  90 0.895 24 972.459
  91 0.905 23.7366 970.73
  92 0.915 3.46781 970.815
  93 0.925 20.7956 968.923
  94 0.935 24 963.219
  95 0.945 24 942.01
  96 0.955 23.9999 933.933
  97 0.965 19.455 932.561
  98 0.975 4.54509 933.87
  99 0.985 24 0
  100 0.995 24 0
