# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 9697.999999999998
  1 0.005 96 0
  2 0.015 96 0
  3 0.025 94 399.563
  4 0.035 96 399.33
  5 0.045 95.0664 398.604
  6 0.055 97.1157 395.435
  7 0.065 108.393 386.091
  8 0.075 102.124 382.602
  9 0.085 96.3004 381.36
  10 0.095 96.0004 380.803
  11 0.105 96 380.413
  12 0.115 94 377.959
  13 0.125 95 375.034
  14 0.135 95.0001 371.967
  15 0.145 95 369.905
  16 0.155 96.001 368.394
  17 0.165 95.7944 366.998
  18 0.175 94.2046 364.564
  19 0.185 95.1286 361.318
  20 0.195 103.903 355.857
  21 0.205 101.38 353.613
  22 0.215 98.9638 351.484
  23 0.225 95.5794 349.371
  24 0.235 96.0455 348.302
  25 0.245 93.9357 346.426
  26 0.255 94.0644 341.293
  27 0.265 96 339.355
  28 0.275 94.0003 338.143
  29 0.285 95.0321 335.206
  30 0.295 95.338 332.948
  31 0.305 97.7422 331.076
  32 0.315 101.731 329.019
  33 0.325 104.543 327.9
  34 0.335 98.3362 327.275
  35 0.345 97.1769 325.638
  36 0.355 95.0992 323.525
  37 0.365 93.9994 320.479
  38 0.375 96.0021 318.88
  39 0.385 95 318.677
  40 0.395 95 317.345
  41 0.405 96.0071 314.66
  42 0.415 96.2228 314.086
  43 0.425 94.1844 311.902
  44 0.435 103.751 309.706
  45 0.445 102.809 307.06
  46 0.455 97.9438 305.033
  47 0.465 97.9704 302.426
  48 0.475 93.6664 300.033
  49 0.485 95.4452 297.731
  50 0.495 94.9997 296.276
  51 0.505 93.9926 293.338
  52 0.515 94.0077 288.851
  53 0.525 95.0008 286.963
  54 0.535 95.0112 285.168
  55 0.545 95.1112 282.179
  56 0.555 96.1059 280.167
  57 0.565 99.45 277.423
  58 0.575 104.959 273.648
  59 0.585 99.4288 271.933
  60 0.595 97.7208 270.095
  61 0.605 96.2098 269.882
  62 0.615 95.0012 268.861
  63 0.625 96.0012 267.509
  64 0.635 95 266.182
  65 0.645 96.0003 265.363
  66 0.655 95.0057 264.207
  67 0.665 95.3938 263.108
  68 0.675 99.9007 261.856
  69 0.685 101.465 260.46
  70 0.695 101.724 258.929
  71 0.705 99.9934 257.637
  72 0.715 97.3963 256.235
  73 0.725 94.1129 254.341
  74 0.735 95.0083 252.761
  75 0.745 96 251.446
  76 0.755 96 251.054
  77 0.765 95.0002 249.812
  78 0.775 94.0029 246.86
  79 0.785 93.0016 242.927
  80 0.795 95.3679 238.606
  81 0.805 103.49 237.167
  82 0.815 104.261 234.714
  83 0.825 95.721 231.222
  84 0.835 97.9097 226.455
  85 0.845 96.2436 224.876
  86 0.855 96.0022 224.612
  87 0.865 95 223.664
  88 0.875 95 221.822
  89 0.885 95 219.965
  90 0.895 95 218.28
  91 0.905 95 215.753
  92 0.915 96 214.708
  93 0.925 97.3038 214.351
  94 0.935 106.08 212.482
  95 0.945 107.561 204.58
  96 0.955 95.0552 201.158
  97 0.965 96 200.371
  98 0.975 96 200.119
  99 0.985 96 0
  100 0.995 96 0
