# Chunk-averaged data for fix 11 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
5000000 100 97920.00000000001
  1 0.005 984 0
  2 0.015 984 0
  3 0.025 978.091 1098.85
  4 0.035 967.044 1099.06
  5 0.045 982.874 1098.97
  6 0.055 983.961 1098.66
  7 0.065 981.482 1088
  8 0.075 972.976 1084.68
  9 0.085 975.716 1080.74
  10 0.095 982.022 1078.03
  11 0.105 983.134 1076.46
  12 0.115 978.893 1073.82
  13 0.125 974.929 1071.11
  14 0.135 977.385 1069.24
  15 0.145 981.625 1066.49
  16 0.155 981.661 1064.21
  17 0.165 978.23 1062.22
  18 0.175 975.726 1060.47
  19 0.185 978.385 1058.51
  20 0.195 981.458 1056.05
  21 0.205 980.904 1054.69
  22 0.215 977.804 1052.08
  23 0.225 976.331 1049.46
  24 0.235 979.235 1047.82
  25 0.245 981.337 1046.35
  26 0.255 980.533 1045.21
  27 0.265 977.338 1043.24
  28 0.275 977.186 1041.57
  29 0.285 979.679 1040.46
  30 0.295 980.884 1038.88
  31 0.305 980.285 1036.74
  32 0.315 977.469 1035.1
  33 0.325 977.562 1033.21
  34 0.335 979.424 1031.2
  35 0.345 980.624 1029.2
  36 0.355 980.229 1027.09
  37 0.365 977.406 1025.39
  38 0.375 977.884 1023.16
  39 0.385 979.451 1021.66
  40 0.395 980.861 1020.57
  41 0.405 979.654 1019.26
  42 0.415 977.629 1018.39
  43 0.425 978.001 1015.84
  44 0.435 979.505 1014.43
  45 0.445 980.894 1012.77
  46 0.455 979.699 1010.5
  47 0.465 977.654 1009.17
  48 0.475 977.76 1007.45
  49 0.485 979.83 1004.39
  50 0.495 980.796 1002.95
  51 0.505 979.62 1001.24
  52 0.515 978.045 999.912
  53 0.525 977.847 997.865
  54 0.535 979.76 995.382
  55 0.545 980.738 993.037
  56 0.555 979.591 992.01
  57 0.565 977.805 990.855
  58 0.575 978.047 988.019
  59 0.585 979.73 985.982
  60 0.595 980.696 983.465
  61 0.605 979.457 982.075
  62 0.615 977.987 980.073
  63 0.625 978.07 978.159
  64 0.635 980.041 976.089
  65 0.645 980.647 974.942
  66 0.655 979.203 972.254
  67 0.665 977.673 969.614
  68 0.675 978.305 966.588
  69 0.685 980.102 964.916
  70 0.695 981.204 963.886
  71 0.705 979.423 961.704
  72 0.715 977.328 959.586
  73 0.725 977.993 958.309
  74 0.735 980.228 956.489
  75 0.745 981.813 953.854
  76 0.755 979.803 952.355
  77 0.765 976.555 951.383
  78 0.775 977.494 949.434
  79 0.785 980.405 947.268
  80 0.795 982.233 945.673
  81 0.805 980.126 943.194
  82 0.815 976.337 940.622
  83 0.825 976.726 938.786
  84 0.835 980.376 937.195
  85 0.845 982.773 936.007
  86 0.855 980.952 933.445
  87 0.865 976.091 930.251
  88 0.875 975.259 927.754
  89 0.885 980.453 925.757
  90 0.895 983.523 923.665
  91 0.905 982.617 920.835
  92 0.915 977.029 919.422
  93 0.925 971.835 916.685
  94 0.935 980.648 912.295
  95 0.945 983.972 899.775
  96 0.955 983.965 899.421
  97 0.965 978.84 899.105
  98 0.975 965.195 899.155
  99 0.985 984 0
  100 0.995 984 0
